	0
0	NA
1	Bifidobacterium longum subsp. longum
2	Bifidobacterium longum subsp. longum
3	Bifidobacterium longum
4	Bifidobacterium longum subsp. longum
5	Bifidobacterium longum subsp. longum
6	Bifidobacterium longum
7	Bifidobacterium longum subsp. longum
8	Bifidobacterium longum E18
9	Bifidobacterium longum subsp. longum
10	Bifidobacterium longum subsp. longum
11	Bifidobacterium longum subsp. longum
12	Bifidobacterium longum subsp. longum
13	Bifidobacterium longum
14	Bifidobacterium longum subsp. infantis ATCC 15697 = JCM 1222 = DSM 20088
15	Bifidobacterium longum
16	Bifidobacterium longum subsp. longum JCM 1217
17	Bifidobacterium longum subsp. longum
18	Bifidobacterium longum subsp. longum
19	Bifidobacterium longum
20	Bifidobacterium longum subsp. infantis
21	Bifidobacterium longum subsp. longum
22	Bifidobacterium longum
23	Bifidobacterium longum
24	Bifidobacterium longum subsp. longum
25	Bifidobacterium longum subsp. longum
26	Bifidobacterium longum subsp. longum
27	Bifidobacterium longum subsp. longum
28	Bifidobacterium longum subsp. infantis
29	Bifidobacterium longum
30	Bifidobacterium longum
31	Bifidobacterium longum subsp. longum JDM301
32	Bifidobacterium longum subsp. longum
33	Bifidobacterium longum
34	Bifidobacterium longum
35	Bifidobacterium longum
36	Bifidobacterium longum subsp. longum F8
37	Bifidobacterium longum subsp. longum
38	Bifidobacterium longum
39	Bifidobacterium longum
40	Bifidobacterium longum
41	Bifidobacterium longum subsp. suis
42	Bifidobacterium longum subsp. longum 1-6B
43	Bifidobacterium longum
44	Bifidobacterium longum
45	Bifidobacterium longum
46	Bifidobacterium longum subsp. longum
47	Bifidobacterium longum subsp. longum CECT 7347
48	Bifidobacterium longum subsp. infantis
49	Bifidobacterium longum
50	Bifidobacterium longum
51	Bifidobacterium longum subsp. longum
52	Bifidobacterium longum
53	NA
54	Bifidobacterium longum
55	Bifidobacterium longum
56	Bifidobacterium longum subsp. longum
57	Bifidobacterium longum
58	Bifidobacterium longum
59	Bifidobacterium longum
60	Bifidobacterium longum
61	Bifidobacterium longum
62	Bifidobacterium longum subsp. longum 44B
63	Bifidobacterium longum subsp. longum
64	Bifidobacterium longum subsp. longum
65	Bifidobacterium longum subsp. longum
66	Bifidobacterium longum
67	Bifidobacterium longum subsp. suis
68	Bifidobacterium longum subsp. longum 7-1B
69	Bifidobacterium longum
70	Bifidobacterium longum
71	Bifidobacterium longum subsp. longum
72	Bifidobacterium longum subsp. longum
73	Bifidobacterium longum subsp. infantis
74	Bifidobacterium longum subsp. longum
75	Bifidobacterium longum subsp. longum
76	Bifidobacterium longum
77	Bifidobacterium longum
78	Bifidobacterium longum subsp. longum
79	Bifidobacterium longum subsp. infantis
80	Bifidobacterium longum
81	Bifidobacterium longum subsp. longum
82	Bifidobacterium longum subsp. infantis 157F
83	Bifidobacterium longum subsp. longum
84	Bifidobacterium longum
85	Bifidobacterium longum
86	Bifidobacterium longum subsp. longum 35B
87	Bifidobacterium longum
88	Bifidobacterium longum
89	Bifidobacterium longum
90	Bifidobacterium longum
91	Bifidobacterium longum
92	NA
93	NA
94	Bifidobacterium longum
95	Bifidobacterium longum subsp. longum
96	Bifidobacterium longum subsp. longum
97	Bifidobacterium longum subsp. longum
98	Bifidobacterium longum
99	Bifidobacterium longum subsp. infantis
100	Bifidobacterium longum subsp. longum
101	Bifidobacterium longum subsp. longum
