gcfs,species
GCF_000020425.1_ASM2042v1,inf_1
GCF_000155415.1_ASM15541v1,inf_2
GCF_000196575.1_ASM19657v1,inf_3
GCF_000269965.1_ASM26996v1,inf_4
GCF_000730125.1_ASM73012v1,inf_5
GCF_000771105.1_DSM-20088,inf_6
GCF_000825005.1_BIC1206122787.V1,inf_7
GCF_000825025.1_BIC1307292462.V1,inf_8
GCF_000825045.1_BIC1401111250.V1,inf_9
GCF_000825065.1_BIC1401212621a.V1,inf_10
GCF_000825085.1_BIC1401212621b.V1,inf_11
GCF_000825105.1_BIB1401242951.V1,inf_12
GCF_000825125.1_BIB1401272845a.V1,inf_13
GCF_000825145.1_BIB1401272845b.V1,inf_14
GCF_001051015.2_ASM105101v2,inf_15
GCF_001281305.1_ASM128130v1,inf_16
GCF_001686105.1_ASM168610v1,inf_17
GCF_001686125.1_ASM168612v1,inf_18
GCF_001870755.1_ASM187075v1,inf_19
GCF_002076025.1_Bbif1888B,inf_20
GCF_002900845.1_ASM290084v1,inf_21
GCF_004803425.1_ASM480342v1,inf_22
GCF_004919065.1_ASM491906v1,inf_23
GCF_008868445.1_ASM886844v1,inf_24
GCF_900445755.1_59024_E01,inf_25
GCF_900637215.1_49888_B01,inf_26
GCF_902167555.1_B.longum_ssp_infantis_2_mod_mod2,inf_27
GCF_902167565.1_B.longum_ssp_infantis_5_mod2,inf_28
GCF_902167595.1_B.longum_ssp_infantis_4_mod2,inf_29
GCF_902167615.1_B.longum_ssp_infantis_3_mod_mod2,inf_30
GCF_902167775.1_NZ_Bifidobacterium_longum_infantis_BG463.m5.93_JG,inf_31
GCF_902167885.1_B.longum_ssp_infantis_6_mod2,inf_32
GCF_902167915.1_Bifidobacterium_longum_subsp_infantis_JG_Bg463,inf_33
GCF_000158015.1_ASM15801v1,breve_1
GCF_000213865.1_ASM21386v1,breve_2
GCF_000220135.1_ASM22013v1,breve_3
GCF_000226175.1_ASM22617v2,breve_4
GCF_000741625.1_Biflon_sub.sui,suis_1
GCF_000771285.1_DSM-20211,suis_2
GCF_001870705.1_ASM187070v1,suis_3
