"","sample","b. longum"
"7","C107.4F.1A_taxonomic_profile",6.79241
"8","C107.4F.2A_taxonomic_profile",9.67785
"13","C159.5E.1A_taxonomic_profile",7.33164
"14","C159.5F.1A_taxonomic_profile",10.7188
"15","C159.5F.2A_taxonomic_profile",10.03429
"16","C193.3F.1A_taxonomic_profile",7.31365
"24","C202.6F.1A_taxonomic_profile",5.02737
"25","C202.6F.2A_taxonomic_profile",7.40782
"31","C337.3F.1A_taxonomic_profile",5.7861
"32","C337.3F.2A_taxonomic_profile",11.90366
"35","C403.3E.1A_taxonomic_profile",8.8005
"36","C403.3F.1A_taxonomic_profile",29.30752
"37","C403.3F.2A_taxonomic_profile",16.02319
"48","C517.1F.2A_taxonomic_profile",5.83139
"51","C550.1F.1Aa_taxonomic_profile",22.29473
"52","C550.1F.1Ab_taxonomic_profile",28.33827
"71","C592.1F.1A_taxonomic_profile",16.60253
"72","C593.1F.1A_taxonomic_profile",5.74863
"75","C595.1F.1A_taxonomic_profile",22.25249
"76","C595.1F.2A_taxonomic_profile",26.49913
"81","C600.1F.1A_taxonomic_profile",25.40334
"84","C603.1F.1A_taxonomic_profile",41.92113
"85","C603.1F.2A_taxonomic_profile",41.56588
"86","C604.1F.1A_taxonomic_profile",16.98051
"87","C604.1F.2A_taxonomic_profile",19.17819
"88","C607.1F.1A_taxonomic_profile",23.37405
"91","C611.1F.1A_taxonomic_profile",39.54829
"101","C627.1F.1A_taxonomic_profile",21.44634
"102","C627.1F.2A_taxonomic_profile",18.39786
"105","C633.1F.1A_taxonomic_profile",5.58881
"119","C641.1F.1A_taxonomic_profile",16.82541
"120","C641.1F.2A_taxonomic_profile",11.54628
"125","C648.1F.2A_taxonomic_profile",10.07929
"143","M644.1F.2A_taxonomic_profile",5.61606
"182","C0196.5E.1A_taxonomic_profile",5.00756
"185","C0337.3E.1A_taxonomic_profile",11.8113
"186","C0429.4F.1A_taxonomic_profile",6.72583
"197","C0641.1E.1A_taxonomic_profile",28.32611
"204","C0688.1F.1A_taxonomic_profile",32.20651
"208","C0720.1F.1A_taxonomic_profile",5.70785
"214","C107.4F.1A_taxonomic_profile",6.79241
"215","C107.4F.2A_taxonomic_profile",9.67785
"220","C159.5E.1A_taxonomic_profile",7.33164
"221","C159.5F.1A_taxonomic_profile",10.7188
"222","C159.5F.2A_taxonomic_profile",10.03429
"223","C193.3F.1A_taxonomic_profile",7.31365
"231","C2014.2F.1A_taxonomic_profile",31.94752
"232","C202.6F.1A_taxonomic_profile",5.02737
"233","C202.6F.2A_taxonomic_profile",7.40782
"239","C337.3F.1A_taxonomic_profile",5.7861
"240","C337.3F.2A_taxonomic_profile",11.90366
"243","C403.3E.1A_taxonomic_profile",8.8005
"244","C403.3F.1A_taxonomic_profile",29.30752
"245","C403.3F.2A_taxonomic_profile",16.02319
"256","C517.1F.2A_taxonomic_profile",5.83139
"259","C550.1F.1A.dup_taxonomic_profile",28.33827
"260","C550.1F.1A_taxonomic_profile",22.29473
"279","C592.1F.1A_taxonomic_profile",16.60253
"280","C593.1F.1A_taxonomic_profile",5.74863
"283","C595.1F.1A_taxonomic_profile",22.25249
"284","C595.1F.2A_taxonomic_profile",26.49913
"289","C600.1F.1A_taxonomic_profile",25.40334
"292","C603.1F.1A_taxonomic_profile",41.92113
"293","C603.1F.2A_taxonomic_profile",41.56588
"294","C604.1F.1A_taxonomic_profile",16.98051
"295","C604.1F.2A_taxonomic_profile",19.17819
"296","C607.1F.1A_taxonomic_profile",23.37405
"299","C611.1F.1A_taxonomic_profile",39.54829
"309","C627.1F.1A_taxonomic_profile",21.44634
"310","C627.1F.2A_taxonomic_profile",18.39786
"313","C633.1F.1A_taxonomic_profile",5.58881
"327","C641.1F.1A_taxonomic_profile",16.82541
"328","C641.1F.2A_taxonomic_profile",11.54628
"333","C648.1F.2A_taxonomic_profile",10.07929
"354","M0656.2F.1A_taxonomic_profile",5.01116
"375","M644.1F.2A_taxonomic_profile",5.61606
"410","C0107.4E.1A_taxonomic_profile",10.07352
"413","C0127.7E.1A_taxonomic_profile",6.33152
"414","C0202.6E.1A_taxonomic_profile",8.36563
"420","C0494.2E.1A_taxonomic_profile",9.3454
"423","C0672.1E.1A_taxonomic_profile",6.01444
"427","C0686.1E.1A_taxonomic_profile",6.33819
"428","C0688.1E.1A_taxonomic_profile",43.06165
"430","C0724.1E.1A_taxonomic_profile",13.35496
"435","C0767.1E.1A_taxonomic_profile",61.83496
"441","C0799.1E.1A_taxonomic_profile",34.17137
"445","C2002.3E.1A_taxonomic_profile",11.20457
"446","C2014.2E.1A_taxonomic_profile",28.25957
