"","sample","b. longum"
"1","C016.3F.1A_taxonomic_profile",0.98073
"2","C016.3F.2A_taxonomic_profile",0.9389
"3","C017.2F.1A_taxonomic_profile",0.38022
"4","C017.2F.2A_taxonomic_profile",0.59629
"5","C093.3F.1A_taxonomic_profile",3.01962
"6","C093.3F.2A_taxonomic_profile",3.62409
"7","C107.4F.1A_taxonomic_profile",6.79241
"8","C107.4F.2A_taxonomic_profile",9.67785
"9","C132.4F.1A_taxonomic_profile",1.75128
"10","C132.4F.2A_taxonomic_profile",1.20521
"11","C142.6F.1A_taxonomic_profile",4.86154
"12","C142.6F.2A_taxonomic_profile",3.89263
"13","C159.5E.1A_taxonomic_profile",7.33164
"14","C159.5F.1A_taxonomic_profile",10.7188
"15","C159.5F.2A_taxonomic_profile",10.03429
"16","C193.3F.1A_taxonomic_profile",7.31365
"17","C193.3F.2A_taxonomic_profile",4.39658
"18","C194.4F.1A_taxonomic_profile",1.31232
"19","C194.4F.2A_taxonomic_profile",1.12211
"20","C196.5F.1A_taxonomic_profile",1.68923
"21","C196.5F.2A_taxonomic_profile",4.19196
"24","C202.6F.1A_taxonomic_profile",5.02737
"25","C202.6F.2A_taxonomic_profile",7.40782
"26","C254.5F.1A_taxonomic_profile",0.21507
"27","C254.5F.2A_taxonomic_profile",0.79844
"28","C307.4F.1A_taxonomic_profile",1.49314
"29","C308.5F.1A_taxonomic_profile",1.67862
"30","C308.5F.2A_taxonomic_profile",3.00513
"31","C337.3F.1A_taxonomic_profile",5.7861
"32","C337.3F.2A_taxonomic_profile",11.90366
"35","C403.3E.1A_taxonomic_profile",8.8005
"36","C403.3F.1A_taxonomic_profile",29.30752
"37","C403.3F.2A_taxonomic_profile",16.02319
"38","C404.3E.1A_taxonomic_profile",1.176
"39","C404.3F.1A_taxonomic_profile",1.2983
"40","C404.3F.2A_taxonomic_profile",1.24432
"41","C420.4F.1A_taxonomic_profile",4.45584
"42","C420.4F.2A_taxonomic_profile",3.73859
"43","C450.2F.1A_taxonomic_profile",2.69149
"44","C450.2F.2A_taxonomic_profile",3.28141
"45","C514.1F.1A_taxonomic_profile",0.36719
"46","C514.1F.2A_taxonomic_profile",0.50852
"47","C517.1F.1A_taxonomic_profile",4.37107
"48","C517.1F.2A_taxonomic_profile",5.83139
"49","C537.1F.1A_taxonomic_profile",0.43324
"50","C537.1F.2A_taxonomic_profile",0.42008
"51","C550.1F.1Aa_taxonomic_profile",22.29473
"52","C550.1F.1Ab_taxonomic_profile",28.33827
"53","C551.1F.1A_taxonomic_profile",0.18709
"54","C551.2F.1A_taxonomic_profile",0.06714
"55","C554.1F.1A_taxonomic_profile",1.47746
"56","C554.1F.2A_taxonomic_profile",1.50272
"57","C577.1F.1A_taxonomic_profile",1.63701
"58","C577.1F.2A_taxonomic_profile",0.67892
"59","C578.1F.1A_taxonomic_profile",1.42257
"60","C578.1F.2A_taxonomic_profile",1.33334
"61","C579.1F.1A_taxonomic_profile",1.5305
"62","C579.1F.2A_taxonomic_profile",1.99275
"63","C583.1F.1A_taxonomic_profile",2.06806
"64","C586.1F.1A_taxonomic_profile",1.13759
"69","C591.1F.1A_taxonomic_profile",0.35447
"70","C591.1F.2A_taxonomic_profile",0.65071
"71","C592.1F.1A_taxonomic_profile",16.60253
"72","C593.1F.1A_taxonomic_profile",5.74863
"73","C594.1F.1A_taxonomic_profile",0.09677
"74","C594.1F.2A_taxonomic_profile",0.05634
"75","C595.1F.1A_taxonomic_profile",22.25249
"76","C595.1F.2A_taxonomic_profile",26.49913
"77","C596.1F.1A_taxonomic_profile",4.37398
"78","C596.1F.2A_taxonomic_profile",3.56273
"79","C597.1F.1A_taxonomic_profile",0.81312
"80","C597.1F.2A_taxonomic_profile",1.08098
"81","C600.1F.1A_taxonomic_profile",25.40334
"82","C601.1F.1A_taxonomic_profile",0.20585
"83","C601.1F.2A_taxonomic_profile",0.19931
"84","C603.1F.1A_taxonomic_profile",41.92113
"85","C603.1F.2A_taxonomic_profile",41.56588
"86","C604.1F.1A_taxonomic_profile",16.98051
"87","C604.1F.2A_taxonomic_profile",19.17819
"88","C607.1F.1A_taxonomic_profile",23.37405
"89","C608.1F.1A_taxonomic_profile",2.56646
"90","C610.1F.1A_taxonomic_profile",2.73673
"91","C611.1F.1A_taxonomic_profile",39.54829
"92","C615.1F.1A_taxonomic_profile",1.13126
"93","C615.1F.2A_taxonomic_profile",1.26985
"99","C624.1F.1A_taxonomic_profile",0.09781
"100","C624.1F.2A_taxonomic_profile",0.12171
"101","C627.1F.1A_taxonomic_profile",21.44634
"102","C627.1F.2A_taxonomic_profile",18.39786
"103","C631.1F.1A_taxonomic_profile",2.87154
"104","C631.1F.2A_taxonomic_profile",2.50247
"105","C633.1F.1A_taxonomic_profile",5.58881
"106","C633.1F.2A_taxonomic_profile",3.48859
"107","C634.1E.1A_taxonomic_profile",0.9924
"110","C635.1F.1A_taxonomic_profile",0.84244
"111","C635.1F.2A_taxonomic_profile",0.36434
"112","C636.1F.1A_taxonomic_profile",0.55661
"113","C636.1F.2A_taxonomic_profile",0.60491
"114","C637.1F.1A_taxonomic_profile",2.60426
"115","C638.1F.1A_taxonomic_profile",4.65271
"116","C638.1F.2A_taxonomic_profile",4.48008
"117","C639.1F.1A_taxonomic_profile",1.50123
"118","C639.1F.2A_taxonomic_profile",1.18992
"119","C641.1F.1A_taxonomic_profile",16.82541
"120","C641.1F.2A_taxonomic_profile",11.54628
"121","C642.1F.1A_taxonomic_profile",0.33142
"122","C643.1F.1A_taxonomic_profile",0.07076
"123","C643.1F.2A_taxonomic_profile",0.0603
"124","C648.1F.1A_taxonomic_profile",1.42214
"125","C648.1F.2A_taxonomic_profile",10.07929
"126","C655.1F.1A_taxonomic_profile",2.68922
"127","C655.1F.2A_taxonomic_profile",4.54145
"128","C660.1F.1A_taxonomic_profile",0.73689
"129","C660.1F.2A_taxonomic_profile",1.08556
"130","C661.1F.1A_taxonomic_profile",2.17397
"131","C661.1F.2A_taxonomic_profile",1.76044
"132","C665.1F.1A_taxonomic_profile",2.29866
"133","C665.1F.2A_taxonomic_profile",2.19965
"134","C673.1F.1A_taxonomic_profile",1.40417
"135","C673.1F.2A_taxonomic_profile",2.62814
"136","C683.1F.1A_taxonomic_profile",0.40042
"137","C683.1F.2A_taxonomic_profile",0.25383
"138","C686.1F.1A_taxonomic_profile",4.22194
"139","C686.1F.2A_taxonomic_profile",3.37422
"140","C704.1F.1A_taxonomic_profile",3.67952
"141","C704.1F.2A_taxonomic_profile",3.64033
"142","M644.1F.1A_taxonomic_profile",4.95115
"143","M644.1F.2A_taxonomic_profile",5.61606
"144","M644.2F.1A_taxonomic_profile",0.24211
"145","M644.2F.2A_taxonomic_profile",0.29255
"146","M647.1F.1A_taxonomic_profile",1.21821
"147","M647.1F.2A_taxonomic_profile",1.07429
"148","M647.2F.1A_taxonomic_profile",3.3808
"149","M647.2F.2A_taxonomic_profile",4.40825
"150","M649.1F.1A_taxonomic_profile",1.9159
"151","M651.1F.1A_taxonomic_profile",1.43805
"152","M651.1F.2A_taxonomic_profile",1.55169
"153","M652.1F.1A_taxonomic_profile",4.16164
"154","M652.1F.2A_taxonomic_profile",4.41589
"155","M652.2F.1A_taxonomic_profile",0.55456
"156","M652.2F.2A_taxonomic_profile",0.63672
"157","M656.1F.1A_taxonomic_profile",2.59827
"158","M656.1F.2A_taxonomic_profile",2.45553
"159","M662.1F.1A_taxonomic_profile",1.13624
"160","M662.1F.2A_taxonomic_profile",0.98737
"163","M676.1F.1A_taxonomic_profile",0.02355
"165","M682.1F.1A_taxonomic_profile",0.49239
"166","M682.1F.2A_taxonomic_profile",0.38129
"167","M685.1F.1A_taxonomic_profile",2.63127
"168","M685.1F.2A_taxonomic_profile",2.36955
"172","C0016.3E.1A_taxonomic_profile",1.41183
"173","C0017.2E.1A_taxonomic_profile",0.86825
"174","C0058.4F.1A_taxonomic_profile",1.24534
"175","C0106.6F.1A_taxonomic_profile",4.58746
"176","C0123.3F.1A_taxonomic_profile",0.89706
"177","C016.3F.1A_taxonomic_profile",0.98073
"178","C016.3F.2A_taxonomic_profile",0.9389
"179","C017.2F.1A_taxonomic_profile",0.38022
"180","C017.2F.2A_taxonomic_profile",0.59629
"181","C0194.4E.1A_taxonomic_profile",1.03292
"182","C0196.5E.1A_taxonomic_profile",5.00756
"183","C0237.4F.1A_taxonomic_profile",0.64534
"184","C0254.5E.1A_taxonomic_profile",0.30566
"185","C0337.3E.1A_taxonomic_profile",11.8113
"186","C0429.4F.1A_taxonomic_profile",6.72583
"188","C0623.1F.1A_taxonomic_profile",0.76382
"189","C0624.1E.1A_taxonomic_profile",0.1409
"190","C0631.1E.1A_taxonomic_profile",2.4926
"191","C0633.1E.1A_taxonomic_profile",1.96396
"193","C0635.1E.1A_taxonomic_profile",0.86033
"194","C0636.1E.1A_taxonomic_profile",0.80609
"195","C0638.1E.1A_taxonomic_profile",3.29936
"196","C0639.1E.1A_taxonomic_profile",1.93466
"197","C0641.1E.1A_taxonomic_profile",28.32611
"198","C0642.1E.1A_taxonomic_profile",2.22559
"199","C0643.1E.1A_taxonomic_profile",0.14939
"200","C0648.1E.1A_taxonomic_profile",2.62392
"201","C0655.1E.1A_taxonomic_profile",1.10507
"202","C0661.1E.1A_taxonomic_profile",3.60666
"203","C0679.1F.1A_taxonomic_profile",0.68046
"204","C0688.1F.1A_taxonomic_profile",32.20651
"206","C0694.1F.1A_taxonomic_profile",2.02445
"207","C0698.1F.1A_taxonomic_profile",4.73456
"208","C0720.1F.1A_taxonomic_profile",5.70785
"209","C0725.1F.1A_taxonomic_profile",2.6567
"210","C0730.1F.1A_taxonomic_profile",0.23704
"212","C093.3F.1A_taxonomic_profile",3.01962
"213","C093.3F.2A_taxonomic_profile",3.62409
"214","C107.4F.1A_taxonomic_profile",6.79241
"215","C107.4F.2A_taxonomic_profile",9.67785
