"","sample","b. longum"
"14","C159.5F.1A_taxonomic_profile",10.7188
"15","C159.5F.2A_taxonomic_profile",10.03429
"32","C337.3F.2A_taxonomic_profile",11.90366
"36","C403.3F.1A_taxonomic_profile",29.30752
"37","C403.3F.2A_taxonomic_profile",16.02319
"51","C550.1F.1Aa_taxonomic_profile",22.29473
"52","C550.1F.1Ab_taxonomic_profile",28.33827
"71","C592.1F.1A_taxonomic_profile",16.60253
"75","C595.1F.1A_taxonomic_profile",22.25249
"76","C595.1F.2A_taxonomic_profile",26.49913
"81","C600.1F.1A_taxonomic_profile",25.40334
"84","C603.1F.1A_taxonomic_profile",41.92113
"85","C603.1F.2A_taxonomic_profile",41.56588
"86","C604.1F.1A_taxonomic_profile",16.98051
"87","C604.1F.2A_taxonomic_profile",19.17819
"88","C607.1F.1A_taxonomic_profile",23.37405
"91","C611.1F.1A_taxonomic_profile",39.54829
"101","C627.1F.1A_taxonomic_profile",21.44634
"102","C627.1F.2A_taxonomic_profile",18.39786
"119","C641.1F.1A_taxonomic_profile",16.82541
"120","C641.1F.2A_taxonomic_profile",11.54628
"125","C648.1F.2A_taxonomic_profile",10.07929
"185","C0337.3E.1A_taxonomic_profile",11.8113
"197","C0641.1E.1A_taxonomic_profile",28.32611
"204","C0688.1F.1A_taxonomic_profile",32.20651
"221","C159.5F.1A_taxonomic_profile",10.7188
"222","C159.5F.2A_taxonomic_profile",10.03429
"231","C2014.2F.1A_taxonomic_profile",31.94752
"240","C337.3F.2A_taxonomic_profile",11.90366
"244","C403.3F.1A_taxonomic_profile",29.30752
"245","C403.3F.2A_taxonomic_profile",16.02319
"259","C550.1F.1A.dup_taxonomic_profile",28.33827
"260","C550.1F.1A_taxonomic_profile",22.29473
"279","C592.1F.1A_taxonomic_profile",16.60253
"283","C595.1F.1A_taxonomic_profile",22.25249
"284","C595.1F.2A_taxonomic_profile",26.49913
"289","C600.1F.1A_taxonomic_profile",25.40334
"292","C603.1F.1A_taxonomic_profile",41.92113
"293","C603.1F.2A_taxonomic_profile",41.56588
"294","C604.1F.1A_taxonomic_profile",16.98051
"295","C604.1F.2A_taxonomic_profile",19.17819
"296","C607.1F.1A_taxonomic_profile",23.37405
"299","C611.1F.1A_taxonomic_profile",39.54829
"309","C627.1F.1A_taxonomic_profile",21.44634
"310","C627.1F.2A_taxonomic_profile",18.39786
"327","C641.1F.1A_taxonomic_profile",16.82541
"328","C641.1F.2A_taxonomic_profile",11.54628
"333","C648.1F.2A_taxonomic_profile",10.07929
"410","C0107.4E.1A_taxonomic_profile",10.07352
"428","C0688.1E.1A_taxonomic_profile",43.06165
"430","C0724.1E.1A_taxonomic_profile",13.35496
"435","C0767.1E.1A_taxonomic_profile",61.83496
"441","C0799.1E.1A_taxonomic_profile",34.17137
"445","C2002.3E.1A_taxonomic_profile",11.20457
"446","C2014.2E.1A_taxonomic_profile",28.25957
