"","sample","b. longum"
"36","C403.3F.1A_taxonomic_profile",29.30752
"52","C550.1F.1Ab_taxonomic_profile",28.33827
"76","C595.1F.2A_taxonomic_profile",26.49913
"81","C600.1F.1A_taxonomic_profile",25.40334
"84","C603.1F.1A_taxonomic_profile",41.92113
"85","C603.1F.2A_taxonomic_profile",41.56588
"91","C611.1F.1A_taxonomic_profile",39.54829
"197","C0641.1E.1A_taxonomic_profile",28.32611
"204","C0688.1F.1A_taxonomic_profile",32.20651
"231","C2014.2F.1A_taxonomic_profile",31.94752
"244","C403.3F.1A_taxonomic_profile",29.30752
"259","C550.1F.1A.dup_taxonomic_profile",28.33827
"284","C595.1F.2A_taxonomic_profile",26.49913
"289","C600.1F.1A_taxonomic_profile",25.40334
"292","C603.1F.1A_taxonomic_profile",41.92113
"293","C603.1F.2A_taxonomic_profile",41.56588
"299","C611.1F.1A_taxonomic_profile",39.54829
"428","C0688.1E.1A_taxonomic_profile",43.06165
"435","C0767.1E.1A_taxonomic_profile",61.83496
"441","C0799.1E.1A_taxonomic_profile",34.17137
"446","C2014.2E.1A_taxonomic_profile",28.25957
