ContigName	UniqueTotReads	MultiTotReads	totalreadsgoodmapped
2598858-2601929	31	107	138
c2595355-2593832	6	44	50
c2597106-2595574	15	15	30
c2598562-2597207	1	0	1
c2604454-2602106	4	43	47
c2605922-2604486	8	15	23
c2606381-2605944	1	0	1
c2607314-2606418	8	8	16
c2608249-2607458	5	3	8
c2609546-2608269	6	25	31
c2610356-2609697	2	2	4
c2611458-2610496	1	0	1
c2612430-2611477	1	0	1
c2614109-2612517	1	9	10
c2615274-2614312	1	1	2
c2616246-2615293	0	2	2
c2617928-2616333	3	23	26
c2619247-2618063	5	18	23
c2620369-2619413	19	8	27
c2622143-2620551	6	16	22
c2624124-2622520	0	2	2
c2626110-2624512	0	9	9
c2626386-2626264	0	0	0
c2628158-2626563	3	8	11
c2630269-2628314	5	28	33
c2631106-2630366	0	0	0
c2632432-2631140	0	0	0
c2633881-2632562	0	0	0
c2634683-2633865	0	0	0
c2635627-2634680	0	0	0
c2636747-2635629	0	0	0
