,subject,mgx
267,5,True
173,16,True
97,16,True
360,16,True
119,17,True
108,17,True
393,17,True
509,29,False
290,32,True
283,43,True
23,43,True
472,47,False
216,47,True
0,52,True
185,52,True
66,53,True
250,53,True
445,55,False
215,58,True
13,61,True
2,61,True
486,61,False
35,62,True
271,62,True
503,62,False
24,62,True
26,66,True
15,66,True
227,66,True
37,66,True
310,67,True
46,67,True
452,71,False
264,76,True
265,78,True
321,82,True
57,82,True
343,89,True
128,93,True
117,93,True
191,106,True
180,107,True
256,107,True
77,108,True
252,110,True
275,111,True
34,117,True
45,117,True
56,117,True
309,117,True
19,119,True
30,119,True
258,123,True
314,124,True
475,124,False
498,126,False
11,126,True
207,126,True
22,126,True
33,127,True
218,127,True
480,127,False
172,132,True
161,132,True
222,142,True
211,142,True
485,157,False
494,158,False
150,159,True
139,159,True
490,161,False
439,174,False
353,175,True
86,179,True
75,179,True
42,188,True
31,188,True
85,189,True
74,189,True
460,190,False
469,191,False
396,192,True
213,193,True
202,193,True
176,194,True
175,194,True
198,196,True
187,196,True
381,200,True
289,200,True
122,201,False
111,201,False
73,202,True
181,202,True
62,202,True
358,202,True
192,202,True
49,229,True
386,229,True
38,229,True
456,231,False
236,237,True
59,240,True
276,240,True
48,240,True
361,240,False
499,248,False
508,249,False
319,249,True
315,252,True
337,253,True
131,254,True
142,254,True
41,258,True
52,258,True
370,259,True
495,271,False
291,277,True
240,286,True
44,286,True
251,296,True
55,296,True
104,307,True
416,307,False
126,308,True
115,308,True
405,308,False
455,312,False
341,312,True
454,323,False
463,324,False
294,325,True
261,332,True
118,337,True
107,337,True
407,348,True
76,364,False
65,364,False
447,385,False
297,385,True
400,388,True
496,390,False
374,402,True
138,403,True
149,403,True
160,404,True
171,404,True
484,405,False
344,405,True
127,420,True
116,420,True
268,421,True
302,426,True
237,429,True
448,443,False
153,450,True
164,450,True
402,450,True
385,451,True
391,456,True
347,460,True
389,461,False
197,469,True
277,470,True
70,476,True
81,476,True
308,477,True
488,477,False
71,479,True
60,479,True
280,479,True
51,482,True
332,493,True
262,494,True
273,495,True
1,498,False
12,498,False
68,499,True
78,499,True
67,499,True
408,499,True
79,505,True
270,505,True
3,506,True
281,506,True
14,506,True
25,507,True
419,507,True
36,507,True
47,509,True
58,509,True
449,511,False
69,511,True
4,511,True
80,511,True
300,511,True
324,512,True
90,514,True
101,514,True
379,514,True
16,516,True
5,516,True
27,516,True
279,516,True
32,517,True
43,517,True
287,518,True
6,520,True
82,520,True
17,521,True
28,521,True
325,524,True
392,524,True
338,526,True
50,530,True
334,530,True
61,530,True
473,535,False
464,536,False
401,537,False
103,537,True
92,537,True
345,537,True
39,539,True
29,541,True
40,541,True
318,541,True
83,544,True
72,544,True
336,547,True
84,547,True
8,547,True
113,550,True
497,550,False
112,550,True
430,550,True
124,551,True
123,551,True
18,552,True
7,552,True
21,554,True
10,554,True
303,556,True
441,556,False
450,557,False
348,557,True
505,564,False
326,567,True
417,567,False
63,568,True
53,569,True
64,569,True
20,570,True
9,570,True
349,575,True
306,576,True
125,577,True
136,577,True
147,578,True
158,578,True
169,579,True
93,579,True
87,583,True
327,583,True
54,586,True
422,586,False
88,589,True
99,589,True
121,590,False
110,590,False
132,591,True
143,591,True
135,592,True
146,593,True
165,594,True
154,594,True
100,595,True
89,595,True
330,595,True
133,596,True
144,596,True
166,597,True
155,597,True
157,600,True
134,601,True
145,601,True
156,603,True
375,603,True
471,603,False
167,603,True
168,607,True
137,608,True
114,610,True
148,611,True
507,612,False
105,615,True
94,615,True
254,620,True
243,620,True
170,621,True
159,621,True
182,623,True
244,624,True
233,624,True
106,627,True
95,627,True
130,631,True
141,631,True
436,631,True
285,633,True
242,633,True
231,633,True
177,634,True
96,634,True
253,634,True
411,634,True
151,635,True
162,635,True
152,636,True
163,636,True
200,637,True
98,638,True
174,638,True
178,639,True
189,639,True
140,641,True
129,641,True
412,642,True
210,642,True
220,643,True
397,643,True
209,643,True
274,647,True
120,648,True
109,648,True
282,649,True
339,654,True
188,655,True
199,655,True
376,656,True
284,656,True
365,660,True
255,660,True
179,660,True
307,661,True
368,661,True
232,661,True
221,661,True
190,665,True
201,665,True
482,665,False
433,672,True
292,672,True
235,673,True
224,673,True
364,674,True
500,676,False
214,679,True
316,682,True
212,683,True
223,683,True
272,684,True
234,686,True
245,686,True
203,688,True
194,690,True
305,692,True
409,692,True
248,693,True
247,694,True
225,698,True
421,698,True
295,699,True
296,703,True
257,704,True
246,704,True
387,711,True
328,711,True
340,713,True
259,720,True
362,723,False
311,723,True
249,724,True
474,724,False
483,725,False
183,725,True
204,730,True
426,730,False
226,735,False
329,739,True
350,742,True
502,742,False
238,743,True
418,744,True
298,747,True
352,752,False
489,753,False
429,754,True
406,754,False
269,754,True
205,767,True
373,767,False
217,768,True
403,769,True
195,784,True
470,784,False
206,785,True
504,788,False
184,788,True
420,788,True
260,789,True
431,789,True
442,789,False
427,794,False
278,798,True
228,799,True
312,802,True
239,811,True
196,812,True
241,814,True
372,821,False
229,825,True
263,826,True
286,827,True
367,828,True
288,830,True
457,830,False
398,834,True
299,835,True
208,837,True
438,839,False
355,839,True
230,840,True
219,841,True
432,851,False
323,852,True
342,853,True
380,855,True
266,856,True
320,859,True
331,860,True
301,861,True
428,861,False
413,863,True
459,864,False
322,871,True
369,871,True
424,879,True
333,879,True
434,880,False
479,886,False
313,887,True
414,888,True
383,891,False
493,897,False
317,902,True
444,904,False
437,908,False
415,909,False
462,914,False
423,915,False
443,915,False
371,920,True
293,920,True
304,921,True
382,921,True
335,925,True
346,930,True
506,932,False
435,932,True
366,936,True
492,946,False
404,958,True
468,961,False
440,999,False
477,1007,False
453,1008,False
354,1009,True
446,1015,False
388,1026,True
363,1034,True
394,1037,False
478,1059,False
510,1060,False
378,1062,True
461,1068,False
399,1075,True
491,1087,False
357,1089,True
356,1090,True
501,1090,False
465,1099,False
410,1102,True
390,1136,True
425,1144,True
466,1160,False
359,1171,True
384,1217,False
451,1222,False
476,1223,False
395,1228,False
458,1238,False
467,1243,False
487,1250,False
193,2014,True
351,2014,True
377,2018,True
186,2018,True
102,2018,True
91,2018,True
481,2018,False
