,subject,pcr
267,5,False
173,16,False
97,16,False
360,16,False
119,17,False
108,17,False
393,17,False
509,29,False
290,32,False
283,43,False
23,43,False
472,47,False
216,47,False
0,52,False
185,52,False
66,53,False
250,53,False
445,55,False
215,58,False
13,61,False
2,61,False
486,61,False
35,62,False
271,62,False
503,62,False
24,62,False
26,66,False
15,66,False
227,66,False
37,66,False
310,67,False
46,67,False
452,71,False
264,76,False
265,78,False
321,82,False
57,82,False
343,89,False
128,93,False
117,93,False
191,106,False
180,107,False
256,107,False
77,108,False
252,110,False
275,111,False
34,117,False
45,117,False
56,117,False
309,117,False
19,119,False
30,119,False
258,123,False
314,124,False
475,124,False
498,126,False
11,126,False
207,126,True
22,126,False
33,127,False
218,127,False
480,127,False
172,132,False
161,132,False
222,142,False
211,142,False
485,157,False
494,158,False
150,159,False
139,159,False
490,161,False
439,174,False
353,175,False
86,179,False
75,179,False
42,188,False
31,188,False
85,189,False
74,189,False
460,190,False
469,191,False
396,192,False
213,193,False
202,193,False
176,194,False
175,194,False
198,196,False
187,196,False
381,200,False
289,200,False
122,201,False
111,201,False
73,202,False
181,202,False
62,202,False
358,202,False
192,202,False
49,229,False
386,229,False
38,229,False
456,231,False
236,237,False
59,240,False
276,240,False
48,240,False
361,240,False
499,248,False
508,249,False
319,249,False
315,252,False
337,253,False
131,254,False
142,254,False
41,258,False
52,258,False
370,259,False
495,271,False
291,277,False
240,286,False
44,286,False
251,296,False
55,296,False
104,307,False
416,307,False
126,308,False
115,308,False
405,308,False
455,312,False
341,312,False
454,323,False
463,324,False
294,325,False
261,332,False
118,337,False
107,337,False
407,348,False
76,364,False
65,364,False
447,385,False
297,385,False
400,388,False
496,390,False
374,402,False
138,403,False
149,403,False
160,404,False
171,404,False
484,405,False
344,405,False
127,420,False
116,420,False
268,421,False
302,426,False
237,429,False
448,443,False
153,450,False
164,450,False
402,450,False
385,451,False
391,456,False
347,460,False
389,461,False
197,469,False
277,470,False
70,476,False
81,476,False
308,477,False
488,477,False
71,479,False
60,479,False
280,479,False
51,482,False
332,493,False
262,494,False
273,495,False
1,498,False
12,498,False
68,499,False
78,499,False
67,499,False
408,499,False
79,505,False
270,505,False
3,506,False
281,506,False
14,506,False
25,507,False
419,507,False
36,507,False
47,509,False
58,509,False
449,511,False
69,511,False
4,511,False
80,511,False
300,511,False
324,512,False
90,514,False
101,514,False
379,514,False
16,516,False
5,516,False
27,516,False
279,516,False
32,517,False
43,517,False
287,518,False
6,520,False
82,520,False
17,521,False
28,521,False
325,524,False
392,524,False
338,526,False
50,530,False
334,530,False
61,530,False
473,535,False
464,536,False
401,537,False
103,537,False
92,537,False
345,537,False
39,539,False
29,541,False
40,541,False
318,541,False
83,544,False
72,544,False
336,547,False
84,547,False
8,547,False
113,550,False
497,550,False
112,550,False
430,550,False
124,551,False
123,551,False
