# Assembly name:  BIC1206122787.V1
# Organism name:  Bifidobacterium longum subsp. infantis (high GC Gram+)
# Infraspecific name:  strain=BIC1206122787
# Taxid:          1682
# BioSample:      SAMEA2747183
# BioProject:     PRJEB7117
# Submitter:      CHUV-UNIL
# Date:           2014-12-19
# Assembly type:  n/a
# Release type:   major
# Assembly level: Contig
# Genome representation: full
# WGS project:    CCWN01
# Genome coverage: 160x
# GenBank assembly accession: GCA_000825005.1
# RefSeq assembly accession: GCF_000825005.1
# RefSeq assembly and GenBank assemblies identical: yes
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_000825015.1	GCF_000825015.1	Primary Assembly
#
# Ordered by chromosome/plasmid; the chromosomes/plasmids are followed by
# unlocalized scaffolds.
# Unplaced scaffolds are listed at the end.
# RefSeq is equal or derived from GenBank object.
#
# Sequence-Name	Sequence-Role	Assigned-Molecule	Assigned-Molecule-Location/Type	GenBank-Accn	Relationship	RefSeq-Accn	Assembly-Unit	Sequence-Length	UCSC-style-name
CCWN01000001	unplaced-scaffold	na	na	CCWN01000001.1	=	NZ_CCWN01000001.1	Primary Assembly	101576	na
CCWN01000002	unplaced-scaffold	na	na	CCWN01000002.1	=	NZ_CCWN01000002.1	Primary Assembly	248236	na
CCWN01000003	unplaced-scaffold	na	na	CCWN01000003.1	=	NZ_CCWN01000003.1	Primary Assembly	49162	na
CCWN01000004	unplaced-scaffold	na	na	CCWN01000004.1	=	NZ_CCWN01000004.1	Primary Assembly	51915	na
CCWN01000005	unplaced-scaffold	na	na	CCWN01000005.1	=	NZ_CCWN01000005.1	Primary Assembly	2204	na
CCWN01000006	unplaced-scaffold	na	na	CCWN01000006.1	=	NZ_CCWN01000006.1	Primary Assembly	5266	na
CCWN01000007	unplaced-scaffold	na	na	CCWN01000007.1	=	NZ_CCWN01000007.1	Primary Assembly	87431	na
CCWN01000008	unplaced-scaffold	na	na	CCWN01000008.1	=	NZ_CCWN01000008.1	Primary Assembly	2489	na
CCWN01000009	unplaced-scaffold	na	na	CCWN01000009.1	=	NZ_CCWN01000009.1	Primary Assembly	30139	na
CCWN01000010	unplaced-scaffold	na	na	CCWN01000010.1	=	NZ_CCWN01000010.1	Primary Assembly	45710	na
CCWN01000011	unplaced-scaffold	na	na	CCWN01000011.1	=	NZ_CCWN01000011.1	Primary Assembly	68451	na
CCWN01000012	unplaced-scaffold	na	na	CCWN01000012.1	=	NZ_CCWN01000012.1	Primary Assembly	1586	na
CCWN01000013	unplaced-scaffold	na	na	CCWN01000013.1	=	NZ_CCWN01000013.1	Primary Assembly	70142	na
CCWN01000014	unplaced-scaffold	na	na	CCWN01000014.1	=	NZ_CCWN01000014.1	Primary Assembly	100246	na
CCWN01000015	unplaced-scaffold	na	na	CCWN01000015.1	=	NZ_CCWN01000015.1	Primary Assembly	17841	na
CCWN01000016	unplaced-scaffold	na	na	CCWN01000016.1	=	NZ_CCWN01000016.1	Primary Assembly	2334	na
CCWN01000017	unplaced-scaffold	na	na	CCWN01000017.1	=	NZ_CCWN01000017.1	Primary Assembly	129737	na
CCWN01000018	unplaced-scaffold	na	na	CCWN01000018.1	=	NZ_CCWN01000018.1	Primary Assembly	211960	na
CCWN01000019	unplaced-scaffold	na	na	CCWN01000019.1	=	NZ_CCWN01000019.1	Primary Assembly	4504	na
CCWN01000020	unplaced-scaffold	na	na	CCWN01000020.1	=	NZ_CCWN01000020.1	Primary Assembly	208659	na
CCWN01000021	unplaced-scaffold	na	na	CCWN01000021.1	=	NZ_CCWN01000021.1	Primary Assembly	16645	na
