,Blon_2331,Blon_2332,Blon_2333,Blon_2334,Blon_2335,Blon_2336,Blon_2337,Blon_2338,Blon_2339,Blon_2340,Blon_2341,Blon_2342,Blon_2343,Blon_2344,Blon_2345,Blon_2346,Blon_2347,Blon_2348,Blon_2349,Blon_2350,Blon_2351,Blon_2352,Blon_2353,Blon_2354,Blon_2355,Blon_2356,Blon_2357,Blon_2358,Blon_2359,Blon_2360,Blon_2361
blongum_GCF_003471355.1_ASM347135v1,-7.329093721,-25.32843602,-25.32843602,-8.030084064,-25.32843602,-25.32843602,-25.32843602,-25.32843602,-25.32843602,-25.32843602,-25.32843602,-25.32843602,-25.32843602,-25.32843602,-25.32843602,-25.32843602,-25.32843602,-25.32843602,-25.32843602,-25.32843602,-25.32843602,-25.32843602,-25.32843602,-25.32843602,-25.32843602,-25.32843602,-25.32843602,-25.32843602,-25.32843602,-25.32843602,-25.32843602
blongum_GCF_003468265.1_ASM346826v1,-7.329093721,-25.32843602,-25.32843602,-8.030084064,-25.32843602,-25.32843602,-25.32843602,-25.32843602,-25.32843602,-25.32843602,-25.32843602,-25.32843602,-25.32843602,-25.32843602,-25.32843602,-25.32843602,-25.32843602,-25.32843602,-25.32843602,-25.32843602,-25.32843602,-25.32843602,-25.32843602,-25.32843602,-25.32843602,-25.32843602,-25.32843602,-25.32843602,-25.32843602,-25.32843602,-25.32843602
blongum_GCF_002833135.1_ASM283313v1,-7.329093721,-25.32843602,-6.519147281,-8.030084064,-25.32843602,-25.32843602,-25.32843602,-25.32843602,-25.32843602,-25.32843602,-25.32843602,-25.32843602,-25.32843602,-25.32843602,-25.32843602,-25.32843602,-25.32843602,-25.32843602,-25.32843602,-25.32843602,-25.32843602,-25.32843602,-25.32843602,-25.32843602,-25.32843602,-25.32843602,-25.32843602,-25.32843602,-25.32843602,-25.32843602,-25.32843602
blongum_GCF_003094955.1_ASM309495v1,-7.329093721,-25.32843602,-7.212294455,-7.336936898,-25.32843602,-25.32843602,-25.32843602,-25.32843602,-25.32843602,-25.32843602,-25.32843602,-25.32843602,-25.32843602,-25.32843602,-25.32843602,-25.32843602,-25.32843602,-25.32843602,-25.32843602,-25.32843602,-25.32843602,-25.32843602,-25.32843602,-25.32843602,-25.32843602,-25.32843602,-25.32843602,-25.32843602,-25.32843602,-25.32843602,-25.32843602
blongum_GCF_003475025.1_ASM347502v1,-7.329093721,-25.32843602,-6.519147281,-8.030084064,-25.32843602,-25.32843602,-25.32843602,-25.32843602,-25.32843602,-25.32843602,-25.32843602,-25.32843602,-25.32843602,-25.32843602,-25.32843602,-25.32843602,-25.32843602,-25.32843602,-25.32843602,-25.32843602,-25.32843602,-25.32843602,-25.32843602,-25.32843602,-25.32843602,-25.32843602,-25.32843602,-25.32843602,-25.32843602,-25.32843602,-25.32843602
blongum_GCF_001719085.1_ASM171908v1,-7.329093721,-25.32843602,-6.519147281,-8.030084064,-25.32843602,-25.32843602,-25.32843602,-25.32843602,-25.32843602,-25.32843602,-25.32843602,-25.32843602,-25.32843602,-25.32843602,-25.32843602,-25.32843602,-25.32843602,-25.32843602,-25.32843602,-25.32843602,-25.32843602,-25.32843602,-25.32843602,-25.32843602,-25.32843602,-25.32843602,-25.32843602,-25.32843602,-25.32843602,-25.32843602,-25.32843602
blongum_GCF_003438485.1_ASM343848v1,-7.329093721,-25.32843602,-6.113682175,-8.030084064,-25.32843602,-25.32843602,-25.32843602,-25.32843602,-25.32843602,-25.32843602,-25.32843602,-25.32843602,-25.32843602,-25.32843602,-25.32843602,-25.32843602,-25.32843602,-25.32843602,-25.32843602,-25.32843602,-25.32843602,-25.32843602,-25.32843602,-25.32843602,-25.32843602,-25.32843602,-25.32843602,-25.32843602,-25.32843602,-25.32843602,-25.32843602
blongum_GCF_900157085.1_Bifido_04_v1,-7.329093721,-7.334981864,-25.32843602,-8.030084064,-7.761744961,-7.270312872,-6.082218906,-6.799055853,-6.674561384,-5.54361372,-6.492239828,-6.176906226,-6.167516486,-7.373374294,-6.176906226,-6.167516486,-7.375255762,-7.077498042,-6.863803382,-7.373374294,-25.32843602,-25.32843602,-25.32843602,-7.375255762,-7.578656831,-6.608000618,-7.164720366,-7.185387002,-6.708084076,-6.854354493,-7.021083953
blongum_GCF_000166895.2_ASM16689v2,-6.635946548,-25.32843602,-7.212294455,-8.030084064,-25.32843602,-25.32843602,-25.32843602,-25.32843602,-25.32843602,-25.32843602,-25.32843602,-25.32843602,-25.32843602,-25.32843602,-25.32843602,-25.32843602,-25.32843602,-25.32843602,-25.32843602,-25.32843602,-25.32843602,-25.32843602,-25.32843602,-25.32843602,-25.32843602,-25.32843602,-25.32843602,-25.32843602,-25.32843602,-25.32843602,-25.32843602
blongum_GCF_003468805.1_ASM346880v1,-25.32843602,-25.32843602,-6.519147281,-25.32843602,-25.32843602,-25.32843602,-25.32843602,-25.32843602,-25.32843602,-25.32843602,-25.32843602,-25.32843602,-25.32843602,-25.32843602,-25.32843602,-25.32843602,-25.32843602,-25.32843602,-25.32843602,-25.32843602,-25.32843602,-25.32843602,-25.32843602,-25.32843602,-25.32843602,-25.32843602,-25.32843602,-25.32843602,-25.32843602,-25.32843602,-25.32843602
