# Assembly name:  BIC1401212621b.V1
# Organism name:  Bifidobacterium longum subsp. infantis (high GC Gram+)
# Infraspecific name:  strain=BIC1401212621b
# Taxid:          1682
# BioSample:      SAMEA2747187
# BioProject:     PRJEB7117
# Submitter:      CHUV-UNIL
# Date:           2014-12-19
# Assembly type:  n/a
# Release type:   major
# Assembly level: Contig
# Genome representation: full
# WGS project:    CCWQ01
# Genome coverage: 370x
# GenBank assembly accession: GCA_000825085.1
# RefSeq assembly accession: GCF_000825085.1
# RefSeq assembly and GenBank assemblies identical: yes
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_000825095.1	GCF_000825095.1	Primary Assembly
#
# Ordered by chromosome/plasmid; the chromosomes/plasmids are followed by
# unlocalized scaffolds.
# Unplaced scaffolds are listed at the end.
# RefSeq is equal or derived from GenBank object.
#
# Sequence-Name	Sequence-Role	Assigned-Molecule	Assigned-Molecule-Location/Type	GenBank-Accn	Relationship	RefSeq-Accn	Assembly-Unit	Sequence-Length	UCSC-style-name
CCWQ01000001	unplaced-scaffold	na	na	CCWQ01000001.1	=	NZ_CCWQ01000001.1	Primary Assembly	107414	na
CCWQ01000002	unplaced-scaffold	na	na	CCWQ01000002.1	=	NZ_CCWQ01000002.1	Primary Assembly	248246	na
CCWQ01000003	unplaced-scaffold	na	na	CCWQ01000003.1	=	NZ_CCWQ01000003.1	Primary Assembly	2489	na
CCWQ01000004	unplaced-scaffold	na	na	CCWQ01000004.1	=	NZ_CCWQ01000004.1	Primary Assembly	49170	na
CCWQ01000005	unplaced-scaffold	na	na	CCWQ01000005.1	=	NZ_CCWQ01000005.1	Primary Assembly	51923	na
CCWQ01000006	unplaced-scaffold	na	na	CCWQ01000006.1	=	NZ_CCWQ01000006.1	Primary Assembly	2208	na
CCWQ01000007	unplaced-scaffold	na	na	CCWQ01000007.1	=	NZ_CCWQ01000007.1	Primary Assembly	5273	na
CCWQ01000008	unplaced-scaffold	na	na	CCWQ01000008.1	=	NZ_CCWQ01000008.1	Primary Assembly	87439	na
CCWQ01000009	unplaced-scaffold	na	na	CCWQ01000009.1	=	NZ_CCWQ01000009.1	Primary Assembly	75801	na
CCWQ01000010	unplaced-scaffold	na	na	CCWQ01000010.1	=	NZ_CCWQ01000010.1	Primary Assembly	68462	na
