# Assembly name:  DSM-20088
# Organism name:  Bifidobacterium longum subsp. infantis ATCC 15697 = JCM 1222 = DSM 20088 (high GC Gram+)
# Infraspecific name:  strain=DSM 20088
# Taxid:          391904
# BioSample:      SAMN02442011
# BioProject:     PRJNA237576
# Submitter:      Key Laboratory of Dairy BiotecInner Mongolia Agricultural University
# Date:           2014-11-4
# Assembly type:  n/a
# Release type:   major
# Assembly level: Contig
# Genome representation: full
# WGS project:    JDTT01
# Assembly method: SOAPdenovo v. 2.01
# Expected final version: yes
# Reference guided assembly: de-novo
# Genome coverage: 278.3x
# Sequencing technology: Illunima Hiseq
# Relation to type material: assembly from type material
# GenBank assembly accession: GCA_000771105.1
# RefSeq assembly accession: GCF_000771105.1
# RefSeq assembly and GenBank assemblies identical: yes
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_000771115.1	GCF_000771115.1	Primary Assembly
#
# Ordered by chromosome/plasmid; the chromosomes/plasmids are followed by
# unlocalized scaffolds.
# Unplaced scaffolds are listed at the end.
# RefSeq is equal or derived from GenBank object.
#
# Sequence-Name	Sequence-Role	Assigned-Molecule	Assigned-Molecule-Location/Type	GenBank-Accn	Relationship	RefSeq-Accn	Assembly-Unit	Sequence-Length	UCSC-style-name
contig1	unplaced-scaffold	na	na	JDTT01000001.1	=	NZ_JDTT01000001.1	Primary Assembly	90426	na
contig10	unplaced-scaffold	na	na	JDTT01000010.1	=	NZ_JDTT01000010.1	Primary Assembly	884	na
contig100	unplaced-scaffold	na	na	JDTT01000100.1	=	NZ_JDTT01000100.1	Primary Assembly	4431	na
contig101	unplaced-scaffold	na	na	JDTT01000101.1	=	NZ_JDTT01000101.1	Primary Assembly	4800	na
contig102	unplaced-scaffold	na	na	JDTT01000102.1	=	NZ_JDTT01000102.1	Primary Assembly	896	na
contig103	unplaced-scaffold	na	na	JDTT01000103.1	=	NZ_JDTT01000103.1	Primary Assembly	3733	na
contig104	unplaced-scaffold	na	na	JDTT01000104.1	=	NZ_JDTT01000104.1	Primary Assembly	4420	na
contig105	unplaced-scaffold	na	na	JDTT01000105.1	=	NZ_JDTT01000105.1	Primary Assembly	4344	na
contig106	unplaced-scaffold	na	na	JDTT01000106.1	=	NZ_JDTT01000106.1	Primary Assembly	4303	na
contig107	unplaced-scaffold	na	na	JDTT01000107.1	=	NZ_JDTT01000107.1	Primary Assembly	1854	na
contig108	unplaced-scaffold	na	na	JDTT01000108.1	=	NZ_JDTT01000108.1	Primary Assembly	2125	na
contig109	unplaced-scaffold	na	na	JDTT01000109.1	=	NZ_JDTT01000109.1	Primary Assembly	3938	na
contig11	unplaced-scaffold	na	na	JDTT01000011.1	=	NZ_JDTT01000011.1	Primary Assembly	86761	na
contig110	unplaced-scaffold	na	na	JDTT01000110.1	=	NZ_JDTT01000110.1	Primary Assembly	1703	na
contig111	unplaced-scaffold	na	na	JDTT01000111.1	=	NZ_JDTT01000111.1	Primary Assembly	1879	na
contig112	unplaced-scaffold	na	na	JDTT01000112.1	=	NZ_JDTT01000112.1	Primary Assembly	3509	na
contig113	unplaced-scaffold	na	na	JDTT01000113.1	=	NZ_JDTT01000113.1	Primary Assembly	3413	na
contig114	unplaced-scaffold	na	na	JDTT01000114.1	=	NZ_JDTT01000114.1	Primary Assembly	3317	na
contig115	unplaced-scaffold	na	na	JDTT01000115.1	=	NZ_JDTT01000115.1	Primary Assembly	3280	na
contig116	unplaced-scaffold	na	na	JDTT01000116.1	=	NZ_JDTT01000116.1	Primary Assembly	3249	na
contig117	unplaced-scaffold	na	na	JDTT01000117.1	=	NZ_JDTT01000117.1	Primary Assembly	2967	na
contig118	unplaced-scaffold	na	na	JDTT01000118.1	=	NZ_JDTT01000118.1	Primary Assembly	2815	na
contig119	unplaced-scaffold	na	na	JDTT01000119.1	=	NZ_JDTT01000119.1	Primary Assembly	2651	na
contig12	unplaced-scaffold	na	na	JDTT01000012.1	=	NZ_JDTT01000012.1	Primary Assembly	85574	na
contig120	unplaced-scaffold	na	na	JDTT01000120.1	=	NZ_JDTT01000120.1	Primary Assembly	2361	na
contig121	unplaced-scaffold	na	na	JDTT01000121.1	=	NZ_JDTT01000121.1	Primary Assembly	2126	na
contig122	unplaced-scaffold	na	na	JDTT01000122.1	=	NZ_JDTT01000122.1	Primary Assembly	1995	na
contig123	unplaced-scaffold	na	na	JDTT01000123.1	=	NZ_JDTT01000123.1	Primary Assembly	1921	na
contig124	unplaced-scaffold	na	na	JDTT01000124.1	=	NZ_JDTT01000124.1	Primary Assembly	1816	na
contig125	unplaced-scaffold	na	na	JDTT01000125.1	=	NZ_JDTT01000125.1	Primary Assembly	1712	na
