# Assembly name:  PC4_v1
# Organism name:  Bifidobacterium longum (high GC Gram+)
# Isolate:  PC4
# Taxid:          216816
# BioSample:      SAMEA51826168
# BioProject:     PRJEB18553
# Submitter:      University of Tromso
# Date:           2017-2-8
# Assembly type:  n/a
# Release type:   major
# Assembly level: Contig
# Genome representation: full
# WGS project:    FTRR01
# Genome coverage: 180x
# GenBank assembly accession: GCA_900157185.1
# RefSeq assembly accession: GCF_900157185.1
# RefSeq assembly and GenBank assemblies identical: yes
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_900157184.1	GCF_900157184.1	Primary Assembly
#
# Ordered by chromosome/plasmid; the chromosomes/plasmids are followed by
# unlocalized scaffolds.
# Unplaced scaffolds are listed at the end.
# RefSeq is equal or derived from GenBank object.
#
# Sequence-Name	Sequence-Role	Assigned-Molecule	Assigned-Molecule-Location/Type	GenBank-Accn	Relationship	RefSeq-Accn	Assembly-Unit	Sequence-Length	UCSC-style-name
FTRR01000069.1	unplaced-scaffold	na	na	FTRR01000069.1	=	NZ_FTRR01000069.1	Primary Assembly	510	na
FTRR01000068.1	unplaced-scaffold	na	na	FTRR01000068.1	=	NZ_FTRR01000068.1	Primary Assembly	542	na
FTRR01000064.1	unplaced-scaffold	na	na	FTRR01000064.1	=	NZ_FTRR01000064.1	Primary Assembly	625	na
FTRR01000063.1	unplaced-scaffold	na	na	FTRR01000063.1	=	NZ_FTRR01000063.1	Primary Assembly	638	na
FTRR01000061.1	unplaced-scaffold	na	na	FTRR01000061.1	=	NZ_FTRR01000061.1	Primary Assembly	687	na
FTRR01000057.1	unplaced-scaffold	na	na	FTRR01000057.1	=	NZ_FTRR01000057.1	Primary Assembly	873	na
FTRR01000056.1	unplaced-scaffold	na	na	FTRR01000056.1	=	NZ_FTRR01000056.1	Primary Assembly	892	na
FTRR01000055.1	unplaced-scaffold	na	na	FTRR01000055.1	=	NZ_FTRR01000055.1	Primary Assembly	954	na
FTRR01000054.1	unplaced-scaffold	na	na	FTRR01000054.1	=	NZ_FTRR01000054.1	Primary Assembly	1023	na
FTRR01000053.1	unplaced-scaffold	na	na	FTRR01000053.1	=	NZ_FTRR01000053.1	Primary Assembly	1052	na
FTRR01000022.1	unplaced-scaffold	na	na	FTRR01000022.1	=	NZ_FTRR01000022.1	Primary Assembly	46855	na
FTRR01000021.1	unplaced-scaffold	na	na	FTRR01000021.1	=	NZ_FTRR01000021.1	Primary Assembly	49118	na
FTRR01000066.1	unplaced-scaffold	na	na	FTRR01000066.1	=	NZ_FTRR01000066.1	Primary Assembly	561	na
FTRR01000028.1	unplaced-scaffold	na	na	FTRR01000028.1	=	NZ_FTRR01000028.1	Primary Assembly	23475	na
FTRR01000019.1	unplaced-scaffold	na	na	FTRR01000019.1	=	NZ_FTRR01000019.1	Primary Assembly	50006	na
FTRR01000014.1	unplaced-scaffold	na	na	FTRR01000014.1	=	NZ_FTRR01000014.1	Primary Assembly	70099	na
FTRR01000020.1	unplaced-scaffold	na	na	FTRR01000020.1	=	NZ_FTRR01000020.1	Primary Assembly	49244	na
FTRR01000058.1	unplaced-scaffold	na	na	FTRR01000058.1	=	NZ_FTRR01000058.1	Primary Assembly	815	na
FTRR01000011.1	unplaced-scaffold	na	na	FTRR01000011.1	=	NZ_FTRR01000011.1	Primary Assembly	88365	na
FTRR01000013.1	unplaced-scaffold	na	na	FTRR01000013.1	=	NZ_FTRR01000013.1	Primary Assembly	83216	na
FTRR01000037.1	unplaced-scaffold	na	na	FTRR01000037.1	=	NZ_FTRR01000037.1	Primary Assembly	3220	na
FTRR01000001.1	unplaced-scaffold	na	na	FTRR01000001.1	=	NZ_FTRR01000001.1	Primary Assembly	254226	na
FTRR01000018.1	unplaced-scaffold	na	na	FTRR01000018.1	=	NZ_FTRR01000018.1	Primary Assembly	51871	na
FTRR01000051.1	unplaced-scaffold	na	na	FTRR01000051.1	=	NZ_FTRR01000051.1	Primary Assembly	1088	na
FTRR01000026.1	unplaced-scaffold	na	na	FTRR01000026.1	=	NZ_FTRR01000026.1	Primary Assembly	25642	na
FTRR01000050.1	unplaced-scaffold	na	na	FTRR01000050.1	=	NZ_FTRR01000050.1	Primary Assembly	1293	na
FTRR01000008.1	unplaced-scaffold	na	na	FTRR01000008.1	=	NZ_FTRR01000008.1	Primary Assembly	123059	na
