,Blon_2331,Blon_2332,Blon_2333,Blon_2334,Blon_2335,Blon_2336,Blon_2337,Blon_2338,Blon_2339,Blon_2340,Blon_2341,Blon_2342,Blon_2343,Blon_2344,Blon_2345,Blon_2346,Blon_2347,Blon_2348,Blon_2349,Blon_2350,Blon_2351,Blon_2352,Blon_2353,Blon_2354,Blon_2355,Blon_2356,Blon_2357,Blon_2358,Blon_2359,Blon_2360,Blon_2361
5,-4.110217910768791,-4.850075227806314,-25.328436022934504,-6.084173940823678,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504
16,-5.537334264478536,-4.695924548161556,-25.328436022934504,-6.931471795359453,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-5.288267028714535,-5.361292163579425,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504
16,-5.026508641728546,-5.032396784344768,-5.266384317507884,-6.931471795359453,-25.328436022934504,-25.328436022934504,-25.328436022934504,-5.412761498696406,-5.575949100506316,-4.6681449840844795,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504
16,-3.665532089726176,-4.24393942481668,-5.8260001039904505,-6.6437897254676725,-25.328436022934504,-25.328436022934504,-25.328436022934504,-5.412761498696406,-4.728651241627684,-5.073610091660144,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504
17,-3.863357832970615,-4.444610120123983,-4.321922709850843,-7.336936898347617,-25.328436022934504,-25.328436022934504,-25.328436022934504,-6.799055853088796,-5.575949100506316,-4.513994304409365,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504
17,-5.942799371316701,-6.236369585093705,-6.519147281160396,-7.336936898347617,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-6.0544393420093705,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504
17,-5.942799371316701,-6.236369585093705,-5.8260001039904505,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-7.15305162215748,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504
29,-2.713973219254441,-3.7796338169444006,-7.212294454940341,-4.894589877002761,-7.761744961168913,-25.328436022934504,-25.328436022934504,-5.700443570400687,-6.674561383894426,-4.513994304409365,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504
32,-3.340109689400095,-4.24393942481668,-25.328436022934504,-8.030084063547564,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-7.15305162215748,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504
43,-2.9852883141949857,-3.8086213538047704,-25.328436022934504,-6.420646175689463,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504
43,-3.3778500173720873,-3.8692459755930253,-25.328436022934504,-5.83285951351801,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504
47,-4.931198462062767,-5.725543963371714,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504
47,-5.383183585014136,-6.236369585093705,-7.212294454940341,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504
52,-5.1318691572170385,-5.137757299832262,-7.212294454940341,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504
52,-3.4372734378249445,-3.9009946738921517,-5.132852925125505,-6.084173940823678,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504
53,-3.863357832970615,-4.770032520231046,-7.212294454940341,-6.420646175689463,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504
53,-5.383183585014136,-4.695924548161556,-6.519147281160396,-7.336936898347617,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504
55,-5.537334264478536,-5.725543963371714,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504
