chr	start	end	name	gieStain
infantis	48899.0	50422.0	blon_2331	a
infantis	50644.0	52185.0	blon_2332	b
infantis	52502.0	55573.0	blon_2334	c
infantis	55750.0	58098.0	blon_2335	d
infantis	58130.0	59566.0	blon_2336	e
infantis	59588.0	60025.0	blon_2337	f
infantis	60062.0	60958.0	blon_2338	g
infantis	61102.0	61893.0	blon_2339	h
infantis	61913.0	63051.0	blon_2340	i
infantis	137491.0	138150.0	blon_2341	j
infantis	132571.0	133533.0	blon_2342	k
infantis	135417.0	136370.0	blon_2343	l
infantis	133738.0	135330.0	blon_2344	m
infantis	132571.0	133533.0	blon_2345	n
infantis	135417.0	136370.0	blon_2346	o
infantis	129917.0	131512.0	blon_2347	p
infantis	128598.0	129782.0	blon_2348	q
infantis	127476.0	128432.0	blon_2349	r
infantis	125702.0	127294.0	blon_2350	s
infantis	123729.0	125324.0	blon_2354	t
infantis	121618.0	123573.0	blon_2355	u
infantis	120782.0	121521.0	blon_2356	v
infantis	119456.0	120748.0	blon_2357	w
infantis	118015.0	119334.0	blon_2358	x
infantis	117213.0	118031.0	blon_2359	y
infantis	116269.0	117216.0	blon_2360	z
infantis	115149.0	116267.0	blon_2361	ab
