# Assembly name:  BIB1401272845b.V1
# Organism name:  Bifidobacterium longum subsp. infantis (high GC Gram+)
# Infraspecific name:  strain=BIB1401272845b
# Taxid:          1682
# BioSample:      SAMEA2747190
# BioProject:     PRJEB7117
# Submitter:      CHUV-UNIL
# Date:           2014-12-19
# Assembly type:  n/a
# Release type:   major
# Assembly level: Contig
# Genome representation: full
# WGS project:    CCWT01
# Genome coverage: 451x
# GenBank assembly accession: GCA_000825145.1
# RefSeq assembly accession: GCF_000825145.1
# RefSeq assembly and GenBank assemblies identical: yes
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_000825155.1	GCF_000825155.1	Primary Assembly
#
# Ordered by chromosome/plasmid; the chromosomes/plasmids are followed by
# unlocalized scaffolds.
# Unplaced scaffolds are listed at the end.
# RefSeq is equal or derived from GenBank object.
#
# Sequence-Name	Sequence-Role	Assigned-Molecule	Assigned-Molecule-Location/Type	GenBank-Accn	Relationship	RefSeq-Accn	Assembly-Unit	Sequence-Length	UCSC-style-name
CCWT01000001	unplaced-scaffold	na	na	CCWT01000001.1	=	NZ_CCWT01000001.1	Primary Assembly	107413	na
CCWT01000002	unplaced-scaffold	na	na	CCWT01000002.1	=	NZ_CCWT01000002.1	Primary Assembly	1432	na
CCWT01000003	unplaced-scaffold	na	na	CCWT01000003.1	=	NZ_CCWT01000003.1	Primary Assembly	248246	na
CCWT01000004	unplaced-scaffold	na	na	CCWT01000004.1	=	NZ_CCWT01000004.1	Primary Assembly	2489	na
CCWT01000005	unplaced-scaffold	na	na	CCWT01000005.1	=	NZ_CCWT01000005.1	Primary Assembly	49170	na
CCWT01000006	unplaced-scaffold	na	na	CCWT01000006.1	=	NZ_CCWT01000006.1	Primary Assembly	51923	na
CCWT01000007	unplaced-scaffold	na	na	CCWT01000007.1	=	NZ_CCWT01000007.1	Primary Assembly	5273	na
CCWT01000008	unplaced-scaffold	na	na	CCWT01000008.1	=	NZ_CCWT01000008.1	Primary Assembly	87439	na
CCWT01000009	unplaced-scaffold	na	na	CCWT01000009.1	=	NZ_CCWT01000009.1	Primary Assembly	25909	na
CCWT01000010	unplaced-scaffold	na	na	CCWT01000010.1	=	NZ_CCWT01000010.1	Primary Assembly	4270	na
CCWT01000011	unplaced-scaffold	na	na	CCWT01000011.1	=	NZ_CCWT01000011.1	Primary Assembly	39110	na
CCWT01000012	unplaced-scaffold	na	na	CCWT01000012.1	=	NZ_CCWT01000012.1	Primary Assembly	5957	na
CCWT01000013	unplaced-scaffold	na	na	CCWT01000013.1	=	NZ_CCWT01000013.1	Primary Assembly	68462	na
CCWT01000014	unplaced-scaffold	na	na	CCWT01000014.1	=	NZ_CCWT01000014.1	Primary Assembly	70152	na
CCWT01000015	unplaced-scaffold	na	na	CCWT01000015.1	=	NZ_CCWT01000015.1	Primary Assembly	100267	na
CCWT01000016	unplaced-scaffold	na	na	CCWT01000016.1	=	NZ_CCWT01000016.1	Primary Assembly	17874	na
