# Assembly name:  BIC1307292462.V1
# Organism name:  Bifidobacterium longum subsp. infantis (high GC Gram+)
# Infraspecific name:  strain=BIC1307292462
# Taxid:          1682
# BioSample:      SAMEA2747184
# BioProject:     PRJEB7117
# Submitter:      CHUV-UNIL
# Date:           2014-12-19
# Assembly type:  n/a
# Release type:   major
# Assembly level: Contig
# Genome representation: full
# WGS project:    CCWO01
# Genome coverage: 104x
# GenBank assembly accession: GCA_000825025.1
# RefSeq assembly accession: GCF_000825025.1
# RefSeq assembly and GenBank assemblies identical: yes
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_000825035.1	GCF_000825035.1	Primary Assembly
#
# Ordered by chromosome/plasmid; the chromosomes/plasmids are followed by
# unlocalized scaffolds.
# Unplaced scaffolds are listed at the end.
# RefSeq is equal or derived from GenBank object.
#
# Sequence-Name	Sequence-Role	Assigned-Molecule	Assigned-Molecule-Location/Type	GenBank-Accn	Relationship	RefSeq-Accn	Assembly-Unit	Sequence-Length	UCSC-style-name
CCWO01000001	unplaced-scaffold	na	na	CCWO01000001.1	=	NZ_CCWO01000001.1	Primary Assembly	101559	na
CCWO01000002	unplaced-scaffold	na	na	CCWO01000002.1	=	NZ_CCWO01000002.1	Primary Assembly	60770	na
CCWO01000003	unplaced-scaffold	na	na	CCWO01000003.1	=	NZ_CCWO01000003.1	Primary Assembly	187453	na
CCWO01000004	unplaced-scaffold	na	na	CCWO01000004.1	=	NZ_CCWO01000004.1	Primary Assembly	2489	na
CCWO01000005	unplaced-scaffold	na	na	CCWO01000005.1	=	NZ_CCWO01000005.1	Primary Assembly	49130	na
CCWO01000006	unplaced-scaffold	na	na	CCWO01000006.1	=	NZ_CCWO01000006.1	Primary Assembly	51883	na
CCWO01000007	unplaced-scaffold	na	na	CCWO01000007.1	=	NZ_CCWO01000007.1	Primary Assembly	2204	na
CCWO01000008	unplaced-scaffold	na	na	CCWO01000008.1	=	NZ_CCWO01000008.1	Primary Assembly	5233	na
CCWO01000009	unplaced-scaffold	na	na	CCWO01000009.1	=	NZ_CCWO01000009.1	Primary Assembly	87399	na
CCWO01000010	unplaced-scaffold	na	na	CCWO01000010.1	=	NZ_CCWO01000010.1	Primary Assembly	30129	na
CCWO01000011	unplaced-scaffold	na	na	CCWO01000011.1	=	NZ_CCWO01000011.1	Primary Assembly	45748	na
CCWO01000012	unplaced-scaffold	na	na	CCWO01000012.1	=	NZ_CCWO01000012.1	Primary Assembly	68421	na
CCWO01000013	unplaced-scaffold	na	na	CCWO01000013.1	=	NZ_CCWO01000013.1	Primary Assembly	1586	na
CCWO01000014	unplaced-scaffold	na	na	CCWO01000014.1	=	NZ_CCWO01000014.1	Primary Assembly	70112	na
CCWO01000015	unplaced-scaffold	na	na	CCWO01000015.1	=	NZ_CCWO01000015.1	Primary Assembly	58732	na
CCWO01000016	unplaced-scaffold	na	na	CCWO01000016.1	=	NZ_CCWO01000016.1	Primary Assembly	41590	na
CCWO01000017	unplaced-scaffold	na	na	CCWO01000017.1	=	NZ_CCWO01000017.1	Primary Assembly	17867	na
CCWO01000018	unplaced-scaffold	na	na	CCWO01000018.1	=	NZ_CCWO01000018.1	Primary Assembly	2366	na
CCWO01000019	unplaced-scaffold	na	na	CCWO01000019.1	=	NZ_CCWO01000019.1	Primary Assembly	129640	na
CCWO01000020	unplaced-scaffold	na	na	CCWO01000020.1	=	NZ_CCWO01000020.1	Primary Assembly	66886	na
CCWO01000021	unplaced-scaffold	na	na	CCWO01000021.1	=	NZ_CCWO01000021.1	Primary Assembly	122130	na
CCWO01000022	unplaced-scaffold	na	na	CCWO01000022.1	=	NZ_CCWO01000022.1	Primary Assembly	22861	na
CCWO01000023	unplaced-scaffold	na	na	CCWO01000023.1	=	NZ_CCWO01000023.1	Primary Assembly	4472	na
CCWO01000024	unplaced-scaffold	na	na	CCWO01000024.1	=	NZ_CCWO01000024.1	Primary Assembly	50882	na
CCWO01000025	unplaced-scaffold	na	na	CCWO01000025.1	=	NZ_CCWO01000025.1	Primary Assembly	62031	na
CCWO01000026	unplaced-scaffold	na	na	CCWO01000026.1	=	NZ_CCWO01000026.1	Primary Assembly	86177	na
CCWO01000027	unplaced-scaffold	na	na	CCWO01000027.1	=	NZ_CCWO01000027.1	Primary Assembly	6132	na
CCWO01000028	unplaced-scaffold	na	na	CCWO01000028.1	=	NZ_CCWO01000028.1	Primary Assembly	3494	na
