# Assembly name:  ASM168610v1
# Organism name:  Bifidobacterium longum subsp. infantis (high GC Gram+)
# Infraspecific name:  strain=IN-07
# Taxid:          1682
# BioSample:      SAMD00047616
# BioProject:     PRJDB4597
# Submitter:      Yakult Central Institute
# Date:           2016-6-9
# Assembly type:  n/a
# Release type:   major
# Assembly level: Contig
# Genome representation: full
# WGS project:    BCYF01
# Assembly method: ABySS v. 1.3.5
# Genome coverage: 310x
# Sequencing technology: Illumina MiSeq
# GenBank assembly accession: GCA_001686105.1
# RefSeq assembly accession: GCF_001686105.1
# RefSeq assembly and GenBank assemblies identical: yes
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_001686115.1	GCF_001686115.1	Primary Assembly
#
# Ordered by chromosome/plasmid; the chromosomes/plasmids are followed by
# unlocalized scaffolds.
# Unplaced scaffolds are listed at the end.
# RefSeq is equal or derived from GenBank object.
#
# Sequence-Name	Sequence-Role	Assigned-Molecule	Assigned-Molecule-Location/Type	GenBank-Accn	Relationship	RefSeq-Accn	Assembly-Unit	Sequence-Length	UCSC-style-name
BCYF01000001.1	unplaced-scaffold	na	na	BCYF01000001.1	=	NZ_BCYF01000001.1	Primary Assembly	679	na
BCYF01000002.1	unplaced-scaffold	na	na	BCYF01000002.1	=	NZ_BCYF01000002.1	Primary Assembly	204	na
BCYF01000003.1	unplaced-scaffold	na	na	BCYF01000003.1	=	NZ_BCYF01000003.1	Primary Assembly	18209	na
BCYF01000004.1	unplaced-scaffold	na	na	BCYF01000004.1	=	NZ_BCYF01000004.1	Primary Assembly	255	na
BCYF01000005.1	unplaced-scaffold	na	na	BCYF01000005.1	=	NZ_BCYF01000005.1	Primary Assembly	222	na
BCYF01000006.1	unplaced-scaffold	na	na	BCYF01000006.1	=	NZ_BCYF01000006.1	Primary Assembly	258	na
BCYF01000007.1	unplaced-scaffold	na	na	BCYF01000007.1	=	NZ_BCYF01000007.1	Primary Assembly	255	na
BCYF01000008.1	unplaced-scaffold	na	na	BCYF01000008.1	=	NZ_BCYF01000008.1	Primary Assembly	238	na
BCYF01000009.1	unplaced-scaffold	na	na	BCYF01000009.1	=	NZ_BCYF01000009.1	Primary Assembly	51359	na
BCYF01000010.1	unplaced-scaffold	na	na	BCYF01000010.1	=	NZ_BCYF01000010.1	Primary Assembly	247	na
