,Unnamed: 0,Blon_2331,Blon_2332,Blon_2333,Blon_2334,Blon_2335,Blon_2336,Blon_2337,Blon_2338,Blon_2339,Blon_2340,Blon_2341,Blon_2342,Blon_2343,Blon_2345,Blon_2345.1,Blon_2346,Blon_2347,Blon_2348,Blon_2349,Blon_2350,Blon_2351,Blon_2352,Blon_2353,Blon_2354,Blon_2355,Blon_2356,Blon_2357,Blon_2358,Blon_2359,Blon_2360,Blon_2361
0,longum_GCF_000772485.1_ASM77248v1,-7.3290937210065925,-25.328436022934504,-6.5191472811603965,-8.030084063547564,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504
1,longum_GCF_000730045.1_ASM73004v1,-7.3290937210065925,-25.328436022934504,-25.328436022934504,-8.030084063547564,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504
2,longum_GCF_000730105.1_ASM73010v1,-7.3290937210065925,-25.328436022934504,-6.113682175312232,-8.030084063547564,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504
3,longum_GCF_001446255.1_ASM144625v1,-7.3290937210065925,-25.328436022934504,-25.328436022934504,-8.030084063547564,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504
4,longum_GCF_000261265.1_Blongum44Bv1.0,-7.3290937210065925,-25.328436022934504,-6.5191472811603965,-8.030084063547564,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504
5,longum_GCF_000410595.1_ASM41059v1,-7.3290937210065925,-7.334981863541813,-7.2122944549403405,-8.030084063547564,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504
6,longum_GCF_000730055.1_ASM73005v1,-7.3290937210065925,-25.328436022934504,-6.5191472811603965,-8.030084063547564,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504
7,longum_GCF_000261205.1_Blongum22Bv1.0,-7.3290937210065925,-25.328436022934504,-6.5191472811603965,-8.030084063547564,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504
8,longum_GCF_000730025.1_ASM73002v1,-7.3290937210065925,-25.328436022934504,-7.2122944549403405,-8.030084063547564,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504
9,longum_GCF_001686165.1_ASM168616v1,-7.3290937210065925,-25.328436022934504,-6.5191472811603965,-8.030084063547564,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504,-25.328436022934504
