# Assembly name:  59024_E01
# Organism name:  Bifidobacterium longum subsp. infantis (high GC Gram+)
# Infraspecific name:  strain=NCTC13219
# Taxid:          1682
# BioSample:      SAMEA104318167
# BioProject:     PRJEB6403
# Submitter:      SC
# Date:           2018-6-28
# Assembly type:  n/a
# Release type:   major
# Assembly level: Contig
# Genome representation: full
# WGS project:    UAQL01
# Genome coverage: 100x
# GenBank assembly accession: GCA_900445755.1
# RefSeq assembly accession: GCF_900445755.1
# RefSeq assembly and GenBank assemblies identical: yes
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_900445754.1	GCF_900445754.1	Primary Assembly
#
# Ordered by chromosome/plasmid; the chromosomes/plasmids are followed by
# unlocalized scaffolds.
# Unplaced scaffolds are listed at the end.
# RefSeq is equal or derived from GenBank object.
#
# Sequence-Name	Sequence-Role	Assigned-Molecule	Assigned-Molecule-Location/Type	GenBank-Accn	Relationship	RefSeq-Accn	Assembly-Unit	Sequence-Length	UCSC-style-name
UAQL01000045.1	unplaced-scaffold	na	na	UAQL01000045.1	=	NZ_UAQL01000045.1	Primary Assembly	5727	na
UAQL01000040.1	unplaced-scaffold	na	na	UAQL01000040.1	=	NZ_UAQL01000040.1	Primary Assembly	425	na
UAQL01000039.1	unplaced-scaffold	na	na	UAQL01000039.1	=	NZ_UAQL01000039.1	Primary Assembly	3163	na
UAQL01000038.1	unplaced-scaffold	na	na	UAQL01000038.1	=	NZ_UAQL01000038.1	Primary Assembly	6536	na
UAQL01000037.1	unplaced-scaffold	na	na	UAQL01000037.1	=	NZ_UAQL01000037.1	Primary Assembly	2879	na
UAQL01000030.1	unplaced-scaffold	na	na	UAQL01000030.1	=	NZ_UAQL01000030.1	Primary Assembly	4012	na
UAQL01000044.1	unplaced-scaffold	na	na	UAQL01000044.1	=	NZ_UAQL01000044.1	Primary Assembly	19411	na
UAQL01000032.1	unplaced-scaffold	na	na	UAQL01000032.1	=	NZ_UAQL01000032.1	Primary Assembly	207042	na
UAQL01000029.1	unplaced-scaffold	na	na	UAQL01000029.1	=	NZ_UAQL01000029.1	Primary Assembly	123720	na
UAQL01000028.1	unplaced-scaffold	na	na	UAQL01000028.1	=	NZ_UAQL01000028.1	Primary Assembly	66752	na
UAQL01000027.1	unplaced-scaffold	na	na	UAQL01000027.1	=	NZ_UAQL01000027.1	Primary Assembly	5967	na
UAQL01000026.1	unplaced-scaffold	na	na	UAQL01000026.1	=	NZ_UAQL01000026.1	Primary Assembly	17995	na
UAQL01000042.1	unplaced-scaffold	na	na	UAQL01000042.1	=	NZ_UAQL01000042.1	Primary Assembly	48418	na
UAQL01000013.1	unplaced-scaffold	na	na	UAQL01000013.1	=	NZ_UAQL01000013.1	Primary Assembly	1552	na
UAQL01000009.1	unplaced-scaffold	na	na	UAQL01000009.1	=	NZ_UAQL01000009.1	Primary Assembly	274954	na
UAQL01000021.1	unplaced-scaffold	na	na	UAQL01000021.1	=	NZ_UAQL01000021.1	Primary Assembly	86912	na
UAQL01000007.1	unplaced-scaffold	na	na	UAQL01000007.1	=	NZ_UAQL01000007.1	Primary Assembly	43524	na
