# Assembly name:  ASM168612v1
# Organism name:  Bifidobacterium longum subsp. infantis (high GC Gram+)
# Infraspecific name:  strain=IN-F29
# Taxid:          1682
# BioSample:      SAMD00047617
# BioProject:     PRJDB4597
# Submitter:      Yakult Central Institute
# Date:           2016-6-9
# Assembly type:  n/a
# Release type:   major
# Assembly level: Contig
# Genome representation: full
# WGS project:    BCYG01
# Assembly method: ABySS v. 1.3.5
# Genome coverage: 90x
# Sequencing technology: Illumina MiSeq
# GenBank assembly accession: GCA_001686125.1
# RefSeq assembly accession: GCF_001686125.1
# RefSeq assembly and GenBank assemblies identical: yes
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_001686135.1	GCF_001686135.1	Primary Assembly
#
# Ordered by chromosome/plasmid; the chromosomes/plasmids are followed by
# unlocalized scaffolds.
# Unplaced scaffolds are listed at the end.
# RefSeq is equal or derived from GenBank object.
#
# Sequence-Name	Sequence-Role	Assigned-Molecule	Assigned-Molecule-Location/Type	GenBank-Accn	Relationship	RefSeq-Accn	Assembly-Unit	Sequence-Length	UCSC-style-name
BCYG01000001.1	unplaced-scaffold	na	na	BCYG01000001.1	=	NZ_BCYG01000001.1	Primary Assembly	21958	na
BCYG01000002.1	unplaced-scaffold	na	na	BCYG01000002.1	=	NZ_BCYG01000002.1	Primary Assembly	1426	na
BCYG01000003.1	unplaced-scaffold	na	na	BCYG01000003.1	=	NZ_BCYG01000003.1	Primary Assembly	220	na
BCYG01000004.1	unplaced-scaffold	na	na	BCYG01000004.1	=	NZ_BCYG01000004.1	Primary Assembly	64528	na
BCYG01000005.1	unplaced-scaffold	na	na	BCYG01000005.1	=	NZ_BCYG01000005.1	Primary Assembly	217	na
BCYG01000006.1	unplaced-scaffold	na	na	BCYG01000006.1	=	NZ_BCYG01000006.1	Primary Assembly	24359	na
BCYG01000007.1	unplaced-scaffold	na	na	BCYG01000007.1	=	NZ_BCYG01000007.1	Primary Assembly	179	na
BCYG01000008.1	unplaced-scaffold	na	na	BCYG01000008.1	=	NZ_BCYG01000008.1	Primary Assembly	141	na
BCYG01000009.1	unplaced-scaffold	na	na	BCYG01000009.1	=	NZ_BCYG01000009.1	Primary Assembly	170	na
BCYG01000010.1	unplaced-scaffold	na	na	BCYG01000010.1	=	NZ_BCYG01000010.1	Primary Assembly	17533	na
BCYG01000011.1	unplaced-scaffold	na	na	BCYG01000011.1	=	NZ_BCYG01000011.1	Primary Assembly	6992	na
BCYG01000012.1	unplaced-scaffold	na	na	BCYG01000012.1	=	NZ_BCYG01000012.1	Primary Assembly	134	na
BCYG01000013.1	unplaced-scaffold	na	na	BCYG01000013.1	=	NZ_BCYG01000013.1	Primary Assembly	29442	na
BCYG01000014.1	unplaced-scaffold	na	na	BCYG01000014.1	=	NZ_BCYG01000014.1	Primary Assembly	16395	na
BCYG01000015.1	unplaced-scaffold	na	na	BCYG01000015.1	=	NZ_BCYG01000015.1	Primary Assembly	157	na
BCYG01000016.1	unplaced-scaffold	na	na	BCYG01000016.1	=	NZ_BCYG01000016.1	Primary Assembly	3791	na
BCYG01000017.1	unplaced-scaffold	na	na	BCYG01000017.1	=	NZ_BCYG01000017.1	Primary Assembly	67166	na
BCYG01000018.1	unplaced-scaffold	na	na	BCYG01000018.1	=	NZ_BCYG01000018.1	Primary Assembly	16102	na
BCYG01000019.1	unplaced-scaffold	na	na	BCYG01000019.1	=	NZ_BCYG01000019.1	Primary Assembly	748	na
BCYG01000020.1	unplaced-scaffold	na	na	BCYG01000020.1	=	NZ_BCYG01000020.1	Primary Assembly	241278	na
BCYG01000021.1	unplaced-scaffold	na	na	BCYG01000021.1	=	NZ_BCYG01000021.1	Primary Assembly	181624	na
BCYG01000022.1	unplaced-scaffold	na	na	BCYG01000022.1	=	NZ_BCYG01000022.1	Primary Assembly	18544	na
BCYG01000023.1	unplaced-scaffold	na	na	BCYG01000023.1	=	NZ_BCYG01000023.1	Primary Assembly	312	na
