# Assembly name:  BIB1401242951.V1
# Organism name:  Bifidobacterium longum subsp. infantis (high GC Gram+)
# Infraspecific name:  strain=BIB1401242951
# Taxid:          1682
# BioSample:      SAMEA2747188
# BioProject:     PRJEB7117
# Submitter:      CHUV-UNIL
# Date:           2014-12-19
# Assembly type:  n/a
# Release type:   major
# Assembly level: Contig
# Genome representation: full
# WGS project:    CCWU01
# Genome coverage: 531x
# GenBank assembly accession: GCA_000825105.1
# RefSeq assembly accession: GCF_000825105.1
# RefSeq assembly and GenBank assemblies identical: yes
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_000825115.1	GCF_000825115.1	Primary Assembly
#
# Ordered by chromosome/plasmid; the chromosomes/plasmids are followed by
# unlocalized scaffolds.
# Unplaced scaffolds are listed at the end.
# RefSeq is equal or derived from GenBank object.
#
# Sequence-Name	Sequence-Role	Assigned-Molecule	Assigned-Molecule-Location/Type	GenBank-Accn	Relationship	RefSeq-Accn	Assembly-Unit	Sequence-Length	UCSC-style-name
CCWU01000001	unplaced-scaffold	na	na	CCWU01000001.1	=	NZ_CCWU01000001.1	Primary Assembly	107357	na
CCWU01000002	unplaced-scaffold	na	na	CCWU01000002.1	=	NZ_CCWU01000002.1	Primary Assembly	248190	na
CCWU01000003	unplaced-scaffold	na	na	CCWU01000003.1	=	NZ_CCWU01000003.1	Primary Assembly	49114	na
CCWU01000004	unplaced-scaffold	na	na	CCWU01000004.1	=	NZ_CCWU01000004.1	Primary Assembly	51867	na
CCWU01000005	unplaced-scaffold	na	na	CCWU01000005.1	=	NZ_CCWU01000005.1	Primary Assembly	2204	na
CCWU01000006	unplaced-scaffold	na	na	CCWU01000006.1	=	NZ_CCWU01000006.1	Primary Assembly	1726	na
CCWU01000007	unplaced-scaffold	na	na	CCWU01000007.1	=	NZ_CCWU01000007.1	Primary Assembly	3080	na
CCWU01000008	unplaced-scaffold	na	na	CCWU01000008.1	=	NZ_CCWU01000008.1	Primary Assembly	87383	na
CCWU01000009	unplaced-scaffold	na	na	CCWU01000009.1	=	NZ_CCWU01000009.1	Primary Assembly	2489	na
CCWU01000010	unplaced-scaffold	na	na	CCWU01000010.1	=	NZ_CCWU01000010.1	Primary Assembly	30113	na
CCWU01000011	unplaced-scaffold	na	na	CCWU01000011.1	=	NZ_CCWU01000011.1	Primary Assembly	45664	na
CCWU01000012	unplaced-scaffold	na	na	CCWU01000012.1	=	NZ_CCWU01000012.1	Primary Assembly	68406	na
CCWU01000013	unplaced-scaffold	na	na	CCWU01000013.1	=	NZ_CCWU01000013.1	Primary Assembly	70095	na
CCWU01000014	unplaced-scaffold	na	na	CCWU01000014.1	=	NZ_CCWU01000014.1	Primary Assembly	120451	na
CCWU01000015	unplaced-scaffold	na	na	CCWU01000015.1	=	NZ_CCWU01000015.1	Primary Assembly	129624	na
CCWU01000016	unplaced-scaffold	na	na	CCWU01000016.1	=	NZ_CCWU01000016.1	Primary Assembly	211792	na
CCWU01000017	unplaced-scaffold	na	na	CCWU01000017.1	=	NZ_CCWU01000017.1	Primary Assembly	4456	na
CCWU01000018	unplaced-scaffold	na	na	CCWU01000018.1	=	NZ_CCWU01000018.1	Primary Assembly	45798	na
CCWU01000019	unplaced-scaffold	na	na	CCWU01000019.1	=	NZ_CCWU01000019.1	Primary Assembly	193465	na
CCWU01000020	unplaced-scaffold	na	na	CCWU01000020.1	=	NZ_CCWU01000020.1	Primary Assembly	92358	na
CCWU01000021	unplaced-scaffold	na	na	CCWU01000021.1	=	NZ_CCWU01000021.1	Primary Assembly	3513	na
CCWU01000022	unplaced-scaffold	na	na	CCWU01000022.1	=	NZ_CCWU01000022.1	Primary Assembly	5360	na
CCWU01000023	unplaced-scaffold	na	na	CCWU01000023.1	=	NZ_CCWU01000023.1	Primary Assembly	47433	na
CCWU01000024	unplaced-scaffold	na	na	CCWU01000024.1	=	NZ_CCWU01000024.1	Primary Assembly	140083	na
