Blon_2331	NC_011593.1:c2595355-2593832
Blon_2332	NC_011593.1:c2597106-2595574
Blon_2333	NC_011593.1:c2598562-2597207
Blon_2334	NC_011593.1:2598858-2601929
Blon_2335	NC_011593.1:c2604454-2602106
Blon_2336	NC_011593.1:c2605922-2604486
Blon_2337	NC_011593.1:c2606381-2605944
Blon_2338	NC_011593.1:c2607314-2606418
Blon_2339	NC_011593.1:c2608249-2607458
Blon_2340	NC_011593.1:c2609546-2608269
Blon_2341	NC_011593.1:c2610356-2609697
Blon_2342	NC_011593.1:c2611458-2610496
Blon_2343	NC_011593.1:c2612430-2611477
Blon_2345	NC_011593.1:c2614109-2612517
Blon_2345	NC_011593.1:c2615274-2614312
Blon_2346	NC_011593.1:c2616246-2615293
Blon_2347	NC_011593.1:c2617928-2616333
Blon_2348	NC_011593.1:c2619247-2618063
Blon_2349	NC_011593.1:c2620369-2619413
Blon_2350	NC_011593.1:c2622143-2620551
Blon_2351	NC_011593.1:c2624124-2622520
Blon_2352	NC_011593.1:c2626110-2624512
Blon_2353	NC_011593.1:c2626386-2626264
Blon_2354	NC_011593.1:c2628158-2626563
Blon_2355	NC_011593.1:c2630269-2628314
Blon_2356	NC_011593.1:c2631106-2630366
Blon_2357	NC_011593.1:c2632432-2631140
Blon_2358	NC_011593.1:c2633881-2632562
Blon_2359	NC_011593.1:c2634683-2633865
Blon_2360	NC_011593.1:c2635627-2634680
Blon_2361	NC_011593.1:c2636747-2635629
