# Assembly name:  Bifido_S1_v1
# Organism name:  Bifidobacterium longum (high GC Gram+)
# Isolate:  Bifido_S1
# Taxid:          216816
# BioSample:      SAMEA51824668
# BioProject:     PRJEB18553
# Submitter:      University of Tromso
# Date:           2017-2-8
# Assembly type:  n/a
# Release type:   major
# Assembly level: Contig
# Genome representation: full
# WGS project:    FTRM01
# Genome coverage: 180x
# GenBank assembly accession: GCA_900157075.1
# RefSeq assembly accession: GCF_900157075.1
# RefSeq assembly and GenBank assemblies identical: yes
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_900157074.1	GCF_900157074.1	Primary Assembly
#
# Ordered by chromosome/plasmid; the chromosomes/plasmids are followed by
# unlocalized scaffolds.
# Unplaced scaffolds are listed at the end.
# RefSeq is equal or derived from GenBank object.
#
# Sequence-Name	Sequence-Role	Assigned-Molecule	Assigned-Molecule-Location/Type	GenBank-Accn	Relationship	RefSeq-Accn	Assembly-Unit	Sequence-Length	UCSC-style-name
FTRM01000080.1	unplaced-scaffold	na	na	FTRM01000080.1	=	NZ_FTRM01000080.1	Primary Assembly	503	na
FTRM01000079.1	unplaced-scaffold	na	na	FTRM01000079.1	=	NZ_FTRM01000079.1	Primary Assembly	505	na
FTRM01000077.1	unplaced-scaffold	na	na	FTRM01000077.1	=	NZ_FTRM01000077.1	Primary Assembly	506	na
FTRM01000076.1	unplaced-scaffold	na	na	FTRM01000076.1	=	NZ_FTRM01000076.1	Primary Assembly	508	na
FTRM01000075.1	unplaced-scaffold	na	na	FTRM01000075.1	=	NZ_FTRM01000075.1	Primary Assembly	508	na
FTRM01000074.1	unplaced-scaffold	na	na	FTRM01000074.1	=	NZ_FTRM01000074.1	Primary Assembly	508	na
FTRM01000073.1	unplaced-scaffold	na	na	FTRM01000073.1	=	NZ_FTRM01000073.1	Primary Assembly	510	na
FTRM01000072.1	unplaced-scaffold	na	na	FTRM01000072.1	=	NZ_FTRM01000072.1	Primary Assembly	515	na
FTRM01000071.1	unplaced-scaffold	na	na	FTRM01000071.1	=	NZ_FTRM01000071.1	Primary Assembly	517	na
FTRM01000068.1	unplaced-scaffold	na	na	FTRM01000068.1	=	NZ_FTRM01000068.1	Primary Assembly	518	na
