# Assembly name:  BIC1401212621a.V1
# Organism name:  Bifidobacterium longum subsp. infantis (high GC Gram+)
# Infraspecific name:  strain=BIC1401212621a
# Taxid:          1682
# BioSample:      SAMEA2747186
# BioProject:     PRJEB7117
# Submitter:      CHUV-UNIL
# Date:           2014-12-19
# Assembly type:  n/a
# Release type:   major
# Assembly level: Contig
# Genome representation: full
# WGS project:    CCWS01
# Genome coverage: 571x
# GenBank assembly accession: GCA_000825065.1
# RefSeq assembly accession: GCF_000825065.1
# RefSeq assembly and GenBank assemblies identical: yes
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_000825075.1	GCF_000825075.1	Primary Assembly
#
# Ordered by chromosome/plasmid; the chromosomes/plasmids are followed by
# unlocalized scaffolds.
# Unplaced scaffolds are listed at the end.
# RefSeq is equal or derived from GenBank object.
#
# Sequence-Name	Sequence-Role	Assigned-Molecule	Assigned-Molecule-Location/Type	GenBank-Accn	Relationship	RefSeq-Accn	Assembly-Unit	Sequence-Length	UCSC-style-name
CCWS01000001	unplaced-scaffold	na	na	CCWS01000001.1	=	NZ_CCWS01000001.1	Primary Assembly	107325	na
CCWS01000002	unplaced-scaffold	na	na	CCWS01000002.1	=	NZ_CCWS01000002.1	Primary Assembly	248254	na
CCWS01000003	unplaced-scaffold	na	na	CCWS01000003.1	=	NZ_CCWS01000003.1	Primary Assembly	2489	na
CCWS01000004	unplaced-scaffold	na	na	CCWS01000004.1	=	NZ_CCWS01000004.1	Primary Assembly	49178	na
CCWS01000005	unplaced-scaffold	na	na	CCWS01000005.1	=	NZ_CCWS01000005.1	Primary Assembly	51931	na
CCWS01000006	unplaced-scaffold	na	na	CCWS01000006.1	=	NZ_CCWS01000006.1	Primary Assembly	5282	na
CCWS01000007	unplaced-scaffold	na	na	CCWS01000007.1	=	NZ_CCWS01000007.1	Primary Assembly	87447	na
CCWS01000008	unplaced-scaffold	na	na	CCWS01000008.1	=	NZ_CCWS01000008.1	Primary Assembly	75809	na
CCWS01000009	unplaced-scaffold	na	na	CCWS01000009.1	=	NZ_CCWS01000009.1	Primary Assembly	68467	na
CCWS01000010	unplaced-scaffold	na	na	CCWS01000010.1	=	NZ_CCWS01000010.1	Primary Assembly	70159	na
CCWS01000011	unplaced-scaffold	na	na	CCWS01000011.1	=	NZ_CCWS01000011.1	Primary Assembly	1432	na
CCWS01000012	unplaced-scaffold	na	na	CCWS01000012.1	=	NZ_CCWS01000012.1	Primary Assembly	100252	na
CCWS01000013	unplaced-scaffold	na	na	CCWS01000013.1	=	NZ_CCWS01000013.1	Primary Assembly	17958	na
CCWS01000014	unplaced-scaffold	na	na	CCWS01000014.1	=	NZ_CCWS01000014.1	Primary Assembly	132059	na
CCWS01000015	unplaced-scaffold	na	na	CCWS01000015.1	=	NZ_CCWS01000015.1	Primary Assembly	67169	na
CCWS01000016	unplaced-scaffold	na	na	CCWS01000016.1	=	NZ_CCWS01000016.1	Primary Assembly	122113	na
CCWS01000017	unplaced-scaffold	na	na	CCWS01000017.1	=	NZ_CCWS01000017.1	Primary Assembly	22857	na
CCWS01000018	unplaced-scaffold	na	na	CCWS01000018.1	=	NZ_CCWS01000018.1	Primary Assembly	4520	na
CCWS01000019	unplaced-scaffold	na	na	CCWS01000019.1	=	NZ_CCWS01000019.1	Primary Assembly	239227	na
CCWS01000020	unplaced-scaffold	na	na	CCWS01000020.1	=	NZ_CCWS01000020.1	Primary Assembly	92390	na
CCWS01000021	unplaced-scaffold	na	na	CCWS01000021.1	=	NZ_CCWS01000021.1	Primary Assembly	3577	na
CCWS01000022	unplaced-scaffold	na	na	CCWS01000022.1	=	NZ_CCWS01000022.1	Primary Assembly	28275	na
CCWS01000023	unplaced-scaffold	na	na	CCWS01000023.1	=	NZ_CCWS01000023.1	Primary Assembly	6067	na
