chr	start	end	name	gieStain
infantis	152192.0	153715.0	blon_2331	a
infantis	148734.0	150224.0	blon_2332	b
infantis	145346.0	148417.0	blon_2334	c
infantis	142821.0	145169.0	blon_2335	d
infantis	141353.0	142789.0	blon_2336	e
infantis	140894.0	141331.0	blon_2337	f
infantis	139961.0	140857.0	blon_2338	g
infantis	139026.0	139817.0	blon_2339	h
infantis	137729.0	139006.0	blon_2340	i
infantis	136919.0	137578.0	blon_2341	j
infantis	132001.0	132963.0	blon_2342	k
infantis	131029.0	131982.0	blon_2343	l
infantis	133166.0	134758.0	blon_2344	m
infantis	132001.0	132963.0	blon_2345	n
infantis	131029.0	131982.0	blon_2346	o
infantis	129347.0	130942.0	blon_2347	p
infantis	128028.0	129212.0	blon_2348	q
infantis	126906.0	127862.0	blon_2349	r
infantis	125132.0	126724.0	blon_2350	s
infantis	123163.0	124745.0	blon_2351	t
infantis	121234.0	122829.0	blon_2354	u
infantis	119126.0	121081.0	blon_2355	v
infantis	118289.0	119029.0	blon_2356	w
infantis	116963.0	118255.0	blon_2357	x
infantis	115522.0	116841.0	blon_2358	y
infantis	114720.0	115538.0	blon_2359	z
infantis	113776.0	114723.0	blon_2360	ab
infantis	112656.0	113774.0	blon_2361	ac
