# Assembly name:  BIC1401111250.V1
# Organism name:  Bifidobacterium longum subsp. infantis (high GC Gram+)
# Infraspecific name:  strain=BIC1401111250
# Taxid:          1682
# BioSample:      SAMEA2747185
# BioProject:     PRJEB7117
# Submitter:      CHUV-UNIL
# Date:           2014-12-19
# Assembly type:  n/a
# Release type:   major
# Assembly level: Contig
# Genome representation: full
# WGS project:    CCWP01
# Genome coverage: 203x
# GenBank assembly accession: GCA_000825045.1
# RefSeq assembly accession: GCF_000825045.1
# RefSeq assembly and GenBank assemblies identical: yes
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_000825055.1	GCF_000825055.1	Primary Assembly
#
# Ordered by chromosome/plasmid; the chromosomes/plasmids are followed by
# unlocalized scaffolds.
# Unplaced scaffolds are listed at the end.
# RefSeq is equal or derived from GenBank object.
#
# Sequence-Name	Sequence-Role	Assigned-Molecule	Assigned-Molecule-Location/Type	GenBank-Accn	Relationship	RefSeq-Accn	Assembly-Unit	Sequence-Length	UCSC-style-name
CCWP01000001	unplaced-scaffold	na	na	CCWP01000001.1	=	NZ_CCWP01000001.1	Primary Assembly	63959	na
CCWP01000002	unplaced-scaffold	na	na	CCWP01000002.1	=	NZ_CCWP01000002.1	Primary Assembly	43543	na
CCWP01000003	unplaced-scaffold	na	na	CCWP01000003.1	=	NZ_CCWP01000003.1	Primary Assembly	103085	na
CCWP01000004	unplaced-scaffold	na	na	CCWP01000004.1	=	NZ_CCWP01000004.1	Primary Assembly	145194	na
CCWP01000005	unplaced-scaffold	na	na	CCWP01000005.1	=	NZ_CCWP01000005.1	Primary Assembly	2489	na
CCWP01000006	unplaced-scaffold	na	na	CCWP01000006.1	=	NZ_CCWP01000006.1	Primary Assembly	49138	na
CCWP01000007	unplaced-scaffold	na	na	CCWP01000007.1	=	NZ_CCWP01000007.1	Primary Assembly	51891	na
CCWP01000008	unplaced-scaffold	na	na	CCWP01000008.1	=	NZ_CCWP01000008.1	Primary Assembly	2204	na
CCWP01000009	unplaced-scaffold	na	na	CCWP01000009.1	=	NZ_CCWP01000009.1	Primary Assembly	5241	na
CCWP01000010	unplaced-scaffold	na	na	CCWP01000010.1	=	NZ_CCWP01000010.1	Primary Assembly	87407	na
